,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
human2_lib3.final_cell_0331,-25.07351,2.8989441,5.2285166,5.362889,-2.6692772,-13.2705765,-3.2963433,26.386091,15.902657,-1.8893075,5.4246855,-4.174574,11.551623,-5.734275,-3.2756038,-1.0513307,1.3336117,3.6864123,0.7538232,0.5107277,0.8304769,-0.55177623,-1.5717913,0.9451032,0.9267868,2.9582405,-1.1809044,-0.023179814,-2.3826778,-4.4261084,-0.2137219,0.8418311,5.4660687,2.9639506,-1.3630791,-0.96558815,-1.3706954,-5.4847636,1.623694,-0.6674363,0.5750757,-0.17023142,0.5342357,0.5552738,0.43690914,-0.5776288,1.0627954,-1.266661,-0.5890102,-0.565098
human1_lib2.final_cell_0529,-30.092432,3.7098396,-16.934977,19.41375,-0.0906618,3.5646434,0.23426935,2.45908,-10.664082,-10.695279,-8.726627,-6.964431,1.3840668,-1.8742206,11.184232,-1.7350552,1.6117853,1.6031117,-0.26358142,1.9464089,1.1408014,6.193362,0.5821732,-2.390698,1.8550341,5.569827,0.17863232,-1.9468142,-0.010693751,0.69649106,-0.776602,-1.2351197,-0.449449,-1.5198675,-0.33556086,0.5146713,-0.066336684,-0.4441693,1.3433187,-0.39799672,0.19634198,-2.1554365,0.71211517,0.9386312,0.5568471,0.7046467,-0.31103244,1.2773614,0.43639997,0.021931812
human3_lib1.final_cell_0741,-12.600676,-8.122285,-23.909416,7.194696,1.2462801,0.8019196,1.7152798,0.27694824,-5.1457663,-8.796195,7.463297,1.1217213,-2.6030202,2.836635,7.0313554,-5.670934,-2.0574293,3.853113,1.0577246,-3.0634856,-0.65158194,-0.3941568,0.24077216,1.3223809,-0.89012426,3.6446264,0.12776785,0.47817573,3.8233893,0.52852976,0.23898867,-1.635694,-0.33707303,3.6720145,-0.16029426,-0.7985991,0.79116064,-1.8072994,-0.5119459,3.1851013,-0.23552947,0.5741783,0.14976206,0.012157895,-0.09516248,-0.37322333,0.92462814,-1.066367,-1.5807685,0.4781664
human3_lib4.final_cell_0391,57.81326,-22.15125,8.528373,10.863146,1.536751,25.596642,-3.852841,-4.544968,24.500048,-19.079468,-14.306923,0.90752405,-5.0941854,-1.6008737,-2.7864978,1.32107,-5.503367,-1.3160814,0.039153546,-0.12840682,-2.6558092,-4.7672334,-5.6036444,-2.2225504,5.6044807,0.5177984,-0.32933408,-0.6475044,1.0717264,-1.8534487,-1.408872,-1.6935581,-0.918441,0.21121073,1.6704439,4.3833327,0.89077705,-0.16570324,2.453042,0.13013531,1.059453,-0.42829573,-2.1989062,-2.374004,-0.00611341,-0.7084755,0.65650153,-0.13808781,-1.7752197,0.64469224
human2_lib2.final_cell_0276,-27.17593,-0.26582587,35.714317,-26.985777,-2.9835064,-24.508356,-2.608063,-15.120062,4.2237177,-16.235607,2.3685977,-2.4337797,10.108293,6.7882347,-6.6416535,-6.5546703,-4.336884,-0.49598464,-0.40591285,0.52408445,2.253662,4.1166515,4.8800497,-0.9389607,4.9686527,1.466598,-1.3904704,1.8585104,0.50972104,-1.8784187,-0.05262223,2.739239,-3.7333946,1.1289546,-0.546823,2.4042132,0.08632892,0.6804413,-0.6772575,0.6489521,-1.5225718,0.9677244,-0.6342609,1.1561021,0.07883844,0.72374284,-1.6030846,-0.5780051,0.22131607,1.6978277
human1_lib1.final_cell_0519,-17.810625,-0.8748057,-3.4620476,-13.7965355,4.1997733,12.527692,2.2237804,4.452498,-10.313635,-2.6309228,-9.245232,-2.754526,2.891576,3.4400504,-3.0790465,7.362625,2.8425627,0.915705,3.0346797,0.8696123,4.090218,-4.267176,2.7546391,1.7134585,-4.91564,2.5849228,-1.824335,-1.8082017,4.2767143,-3.8006365,0.37550348,0.7134229,-4.4089684,2.8512025,0.8826419,1.262686,0.55053025,-0.72382236,1.5295537,-2.7902179,-1.1825078,-0.4263811,0.8623461,0.7703584,0.8316424,0.4152872,-0.8144035,0.9023155,0.98288727,-1.4902208
human1_lib2.final_cell_0212,45.6749,-17.77168,9.495274,15.281329,3.3047369,8.563284,-1.9769124,4.487578,-3.0030947,-6.839093,-13.78142,-0.3447542,0.33505225,-0.87699723,-0.2586631,4.854883,-1.6671814,5.957522,2.2731643,-9.433568,-9.438774,-2.681442,13.454338,8.992219,1.6195467,1.704307,2.0381503,3.618448,-4.9726133,1.8867269,1.527337,0.7065661,-2.3920982,0.37334412,-1.9541843,-3.4346771,-1.4300338,1.0593941,2.2563298,-0.17383301,3.7059517,-0.018009081,-0.71385014,-1.4085569,-0.3919486,-0.9219314,0.4871653,-0.11821101,2.4424317,1.0314039
human4_lib3.final_cell_0165,-25.768915,6.478418,14.139529,14.6869755,-3.385782,-12.454714,-3.892087,25.746256,12.835403,16.130247,-4.9895935,3.3335524,-2.9178073,-3.1576884,-1.6027381,-5.5146046,0.043955296,5.535181,1.3328532,-3.4085088,1.1945105,-0.2692233,-0.9228806,0.41995245,1.780355,2.1398387,-0.0673839,-0.615175,0.026433468,-2.1798177,-2.874664,-1.2628778,1.282697,2.363543,0.38331482,-0.4159525,0.22886403,1.1683476,0.89510167,-0.023387644,0.5733104,0.92793494,1.1255556,0.39817324,-0.8337074,0.7791261,-1.032112,-0.35216329,-1.0566411,1.6532645
human4_lib1.final_cell_0293,-31.802496,16.524149,1.0585938,32.45983,-3.0869274,-4.3328986,-0.92979616,-4.497839,8.820275,19.39762,-0.37950358,12.822319,-18.155682,-0.53517085,-12.568682,-0.3158345,-1.1010823,-0.6541084,0.3967662,-1.5711198,4.764553,2.8559604,3.4222474,-0.66928893,4.2717447,-3.3831239,-1.2234232,5.400811,2.3694258,-1.3960474,3.1054645,-0.4206764,-2.2768779,-0.5268018,1.3092153,2.512086,-1.3945013,-1.2411225,1.1836606,-3.0805342,1.2368006,1.0297064,0.19345424,1.4488021,1.7060554,1.491769,-0.790378,-0.5806424,0.4522354,-1.3089521
human2_lib2.final_cell_0499,64.77864,-31.938332,56.696087,33.128513,-9.523407,-6.063007,2.4941568,6.7152753,-27.313974,1.1534225,22.722225,1.0655742,5.7309403,3.9315176,-3.5959222,2.5544071,7.336464,-6.766078,-7.2451468,9.047772,7.038233,2.4146342,-7.247227,0.60406125,-0.15886047,0.11438829,-5.1846824,3.4328153,2.0023232,-0.49057907,-1.8747286,-2.0515237,2.371934,-2.9991972,0.855777,4.6447825,5.634255,-0.50263894,1.9734248,-1.1954877,1.5582772,-3.620406,-0.5632883,-3.3910165,0.4784935,-2.0076113,-1.550201,-2.5293045,-1.7843192,0.7810682
