,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
human2_lib3.final_cell_0331,1.0431827,-0.20852149,-0.80069345,-0.027395085,0.71254253,-0.01279667,0.025512084,0.61256707,0.7209759,0.010484904,-0.2143806,0.05696683,0.66789377,0.6133713,0.16347665,-0.102836266,-0.87957853,0.5878022,0.23667163,0.60071313,0.21642086,0.6186072,0.18936795,-1.934283,0.39900175,0.05362028,0.33711618,0.5049982,0.60922515,0.16506827,1.5432255,0.48916405,0.21625206,0.74916005,0.97658414,0.16352907,-0.946975,0.63394076,-0.75012726,0.29319185,-0.17016804,0.12785105,-0.14859879,1.2398125,0.3782472,-0.026835574,-0.26767942,-0.3268348,-0.17840946,0.12942965
human1_lib2.final_cell_0529,-0.47806987,-0.85453755,0.8178293,0.110474974,0.2521061,0.19551907,0.5795189,0.46866217,0.54227394,0.1653805,-0.1399307,0.2844604,0.38490596,0.14891629,0.093799666,-0.36178023,-0.29209667,0.12291035,0.35104918,0.36067128,-0.25430152,0.25613007,-0.26888102,-0.6951007,0.69186234,0.03537208,0.6174,0.5557377,0.5015982,0.33606756,1.0425645,0.6949695,1.13347,0.042564593,0.49557096,0.12121144,0.36664727,-0.15054862,-0.021346249,-0.0038691387,-0.47979486,-0.1120104,-0.08467047,0.4589166,-0.03977989,-0.05845495,0.08836981,0.17327276,0.16737491,0.25087857
human3_lib1.final_cell_0741,-0.95461494,-0.31619248,0.6326875,-0.054241452,0.11175219,0.47284126,0.6302395,0.70005417,0.26317754,0.7625732,0.32501006,0.2851506,0.32797664,0.2672765,0.32929647,0.09424591,0.16517493,0.1661545,-0.32264724,-0.2801838,-0.3128621,0.19362226,-0.6664159,0.43399212,0.48880538,0.120442525,-0.2939966,0.27695087,0.31125143,0.022482447,-0.19870533,0.6528819,0.9726146,0.058116056,0.20473616,-0.09673647,0.10263785,-0.28718928,0.37620464,-0.11904163,-0.48148972,0.11107705,-0.1111898,-0.62597466,0.1256402,-0.15135604,0.65545356,0.61853737,0.55319697,0.2381528
human3_lib4.final_cell_0391,0.21728975,1.5596383,-0.48899627,-0.027527545,-0.20648056,0.46522313,-0.035828963,-0.5158607,-0.63777,0.14592141,0.84162295,-0.10318637,-0.20994145,0.92067343,0.7288506,0.39845827,0.53953123,1.1087339,-2.6966918,-0.48860705,-0.13425624,0.3080956,0.70289904,0.08189305,-0.88293093,0.621586,-0.17428795,0.3616481,0.45544052,0.47975242,0.5458217,0.1710844,0.07099706,0.19804934,0.5326548,-1.1028372,0.71302,0.63655406,1.0553278,0.042353578,-0.9783651,0.67147917,-0.13510993,-1.3859481,-0.10204539,-1.177393,0.8322914,0.4563653,-0.107653424,-0.5121837
human2_lib2.final_cell_0276,1.0628353,0.37119865,-0.9276613,-0.0009080507,-0.47874835,0.13608254,0.26963323,0.50395954,0.066466466,-0.19842385,-1.0769908,-0.01754478,0.62108505,0.6201393,0.47629923,0.033461973,0.6353581,-0.45542577,0.22804037,0.4296285,0.32380936,0.7621311,0.6603638,0.21999127,0.58719945,-0.070184365,0.09354265,0.44585446,0.009004638,-0.4715665,1.4088634,-0.6485032,-1.0125209,0.6233445,0.52013063,0.5010648,0.8210521,-0.08821651,-0.16947854,0.16237804,0.8930214,0.18706682,-0.7017669,1.2962785,-0.041048426,-0.34809086,-0.7845706,-0.23754333,0.18772508,0.4318881
human1_lib1.final_cell_0519,0.39758927,-0.36178473,-0.025700092,0.0120344125,-0.16579324,-0.28859532,0.32652658,0.7402942,0.6147666,0.17048465,-0.35573718,0.07105461,0.86179817,-0.29361993,0.33702826,0.13995352,0.10574864,-1.0433034,1.4730072,-0.04187967,-0.052713446,0.54887086,0.40301436,0.087172024,0.2899683,-0.326882,0.556823,0.23912245,0.19504362,0.20667027,1.0502957,-0.26354164,-0.36640987,0.5495848,0.6600612,1.0207862,0.42612723,0.012039829,-0.5411057,0.13263512,1.1138843,-0.24643591,-0.57153547,1.1124259,0.33674085,0.17007524,-1.037152,0.5169608,0.41012615,0.61526376
human1_lib2.final_cell_0212,0.27349457,0.9880435,-0.4132888,0.29432267,-0.016229443,0.42115802,-0.09968577,-0.25202063,-0.6011979,0.28815618,0.57082397,0.1844352,-0.19043213,0.5831744,0.41299188,0.036156192,-0.15409967,1.2814063,-1.3861216,-0.42125988,0.14139119,0.2816578,-0.33552998,0.040849574,-0.3553348,0.5528806,0.03634771,0.43586928,0.65967727,0.5511555,0.34821808,0.4583577,0.24473634,0.1660181,0.57797456,-1.2699418,0.10485071,0.50732344,0.6331248,0.13690037,-0.87601495,0.6528367,0.19989708,-1.2070696,-0.10443279,-0.6673004,0.489258,0.5058705,-0.33724433,0.13281879
human4_lib3.final_cell_0165,1.063707,-0.0011937767,-0.52862334,0.021449234,0.66079795,0.04892864,-0.1700185,0.37265593,0.87712884,-0.075890705,-0.41464525,0.08598371,0.62303513,0.4345108,0.6469541,-0.29371417,-0.97573024,0.8458413,0.29223338,0.35789937,0.08183543,0.48807874,0.10115093,-1.4239655,0.3605501,0.24626471,0.2804199,0.5212297,0.53258824,0.4293934,1.1615268,-0.2472927,0.28030115,0.5967824,0.8578854,0.1250444,-0.63955027,0.707524,-0.45976043,0.08714645,0.4045859,0.66364145,-0.51102406,0.9033332,0.39915675,0.8292159,-0.214721,-0.050526068,-0.111026466,0.35229492
human4_lib1.final_cell_0293,-0.69461256,-0.88690513,-0.70040065,0.19183435,0.82391715,0.35437536,0.49862337,0.29236472,0.67481846,0.06792684,-0.021343589,0.17056765,0.28563175,-0.13716584,0.4667098,0.0059920996,0.29235524,0.59455013,0.18022263,0.30775076,0.03530311,0.15577574,0.07817617,-0.36281243,0.24142924,0.14924435,0.5118133,-0.08530182,-0.071116,0.39182633,1.1401005,-0.10289064,0.770379,0.5219457,0.7105505,0.37843636,0.9458737,-0.30294654,0.015303858,-0.1729413,-0.73266244,0.23384196,0.035129875,0.038712196,0.71321636,1.1731346,-0.42361385,0.03758569,0.7084251,0.54293025
human2_lib2.final_cell_0499,0.6619831,1.4924499,-1.0064166,0.41389334,0.06755061,1.0049971,-0.1364315,-0.38095614,-0.6820871,-0.2806052,0.09596753,0.021169338,-0.0002739802,1.1331612,0.4659416,-0.030399717,0.07536963,1.3465332,-2.244995,-0.036640763,0.024010032,0.67201835,0.060373664,0.14525607,-0.23742813,0.46073973,-0.11190595,0.33369583,0.23344703,-0.2710661,0.6872756,-0.6980429,-0.27947786,0.64850694,0.5243046,-0.59184545,0.33359435,0.7031482,0.25710806,0.33983424,-0.7604305,1.05721,0.561418,-0.22806942,0.050563347,-0.9610538,-0.008187259,0.10114341,-0.034700498,-0.00872612
