,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
mouse1_lib1.final_cell_0001,-15.845226,3.943785,1.5968113,-11.201709,-14.194321,-2.0780551,2.1259785,-4.508453,-7.745845,-10.243935,5.048394,0.59678394,-7.911583,2.0390518,-1.4902961,-10.277568,1.3453219,1.1436932,-0.1677226,1.7278205,3.181999,2.0482185,-1.7241995,1.5147202,3.9532166,-1.5247514,-3.794358,-1.8754944,1.1057913,-0.07679382,4.234111,5.183814,-4.738905,-2.4244595,-0.18059538,1.707727,3.7830217,-2.7629604,-0.54184836,-1.4723288,0.106421344,-2.0300505,3.2973678,-0.059545573,2.1325445,1.7745974,-1.6724397,-0.5024332,2.267705,-2.561765
mouse1_lib1.final_cell_0002,42.6999,-22.829937,4.083364,-13.857318,-8.170922,4.0960937,-2.4862638,-15.561577,9.631369,-9.362866,8.525806,2.3915246,12.032362,3.626156,-10.088517,1.506382,0.32133374,2.526551,0.31857675,1.1503001,-3.409776,9.94286,3.4316483,0.9418602,-1.5733538,0.4267862,-2.8998313,3.1021605,-0.6733979,1.2766334,3.4883418,0.7005003,-1.5395632,2.0185914,-2.1891105,-3.3388073,-4.7913995,1.063389,-1.3760252,0.7668766,1.4229252,-1.6596901,1.7874478,3.8074114,0.28503126,0.33145806,3.6122212,3.4888859,0.6408828,-1.7479986
mouse1_lib1.final_cell_0003,-18.142649,3.1827188,2.550141,-10.496648,20.509363,-0.5846378,13.180176,-11.981285,-2.9141097,-3.215158,0.3196175,-3.0288367,-5.5222545,3.46967,1.5030447,12.032491,-0.18241246,-2.638348,2.551949,3.1893349,-2.5452657,2.7634974,0.2206201,-0.50609016,3.3046787,2.1215894,-1.8293318,1.4893394,-2.8334513,-0.43985337,-1.2134073,0.17664035,3.2594473,-1.057039,3.8942604,-1.401978,2.1393054,-0.4895082,-2.340057,1.5511627,3.1511579,1.1568451,0.301254,-0.29641587,1.9264674,1.5476902,-1.9128358,-0.10921416,-0.8256078,-0.8461937
mouse1_lib1.final_cell_0004,57.517452,3.8773775,-12.0241375,-8.67071,-6.9213195,36.728382,5.056934,-8.7211275,12.580191,-17.007465,9.354531,-2.6466098,28.136793,30.957672,9.156426,-5.4804673,-11.8255625,-5.9257545,-6.8641944,6.377169,-4.291931,12.426982,10.548961,-1.3566135,-6.977889,-3.435615,-3.7549763,3.8518903,13.737362,-7.8960447,-5.6170278,3.6609848,-0.20025194,9.201148,2.2165198,-2.1876633,4.294662,-1.7440009,2.456957,-1.658466,0.3508329,-0.87035453,-3.5673578,-1.7119064,0.6222239,1.665704,-1.3627025,-0.5371828,-1.1690967,1.3091242
mouse1_lib1.final_cell_0005,-16.033907,0.3813971,-0.7417568,-1.7139674,27.540339,1.3058193,14.260955,-10.654571,1.1190645,-6.1748633,2.349702,2.0670106,-7.4412093,1.0855515,3.4977727,11.647191,0.5894694,-4.0575004,1.6622387,3.1555414,-0.779383,5.056265,-0.48677808,-0.93446064,3.6857712,2.4428608,-1.6376307,1.2657806,-1.8072568,1.1487435,-2.1891067,-0.02342191,4.799019,-2.1892061,3.8322115,-1.7834352,2.266895,-0.2458322,-2.5525064,1.8673282,3.6173055,0.7421084,-0.54302895,0.37722886,1.7958153,2.532578,-1.9949592,-0.396816,-0.7318313,-1.0649346
mouse1_lib1.final_cell_0006,-11.426342,-0.70684654,-0.24155308,-4.1190085,-13.507995,0.3935352,-1.1666212,-2.9264286,-7.7531576,-14.372202,6.7108026,6.9782414,-7.8060083,0.42974406,0.26308122,-14.062123,1.856947,1.9080982,0.9430298,-1.505906,5.5242133,2.9530666,-0.57648504,2.2005167,2.2836514,-0.0010650498,-4.845325,-1.7859558,1.6774474,0.8543275,2.8723714,4.7586308,-1.0489173,-3.0651035,1.0140331,1.5607725,2.1833003,-3.6571617,1.4926667,0.6582684,1.1654501,-3.2129169,3.1542041,-0.6256769,0.7719011,1.4681091,-2.523868,0.54347277,2.959378,-2.1095996
mouse1_lib1.final_cell_0007,-17.806604,3.3771691,-1.4094617,0.6484049,-12.090359,-1.1411308,0.3014572,-0.24359177,-3.2549899,-11.140936,4.945734,8.431845,-8.361181,0.15969272,1.1630807,-14.340189,2.8685038,-0.5047256,0.12214885,0.055473674,2.3122432,2.8893125,-2.961582,-0.83386564,1.27424,-0.3060623,-1.1872364,-2.4433517,0.37666324,-0.7146756,1.9165568,2.5426557,-3.2605293,-0.538302,2.171185,1.0990807,3.8031921,-3.4767041,2.1824925,0.5672372,2.4190469,-1.8264103,3.5926178,-0.99272794,-0.036909513,2.1402984,-1.5488346,-0.07130207,0.28754842,-2.2260103
mouse1_lib1.final_cell_0008,-19.164946,5.087487,1.724695,-12.375018,-14.656708,-3.2612276,2.714257,-4.0166225,-5.6981034,-7.9907813,6.7464027,-7.5782957,-7.193582,2.2794933,-2.6044338,-1.2251267,2.352156,-2.7949963,-0.47054428,1.3458652,10.522144,3.4946518,-0.37644485,3.5213432,2.48725,-0.8371015,-2.6872377,-0.54062694,1.5686432,1.507902,1.5095712,2.928745,-1.866272,-1.5206426,-2.559225,0.2724488,2.8229933,-0.50712454,0.19745378,-0.5327962,0.35441566,-0.123524435,0.901955,-0.31981987,3.633139,0.33911818,-0.9992509,1.2212585,0.4945631,-2.8775752
mouse1_lib1.final_cell_0009,-15.675838,0.4697917,-0.6420292,-0.06255804,-11.387986,-1.1830373,2.9765692,0.3070417,2.8582587,-7.9191823,2.8742218,10.715463,-6.709761,0.24024,0.6915223,-11.777942,1.92531,1.0944173,-1.7532871,2.4647832,-0.097623155,2.1689403,-3.8193653,-0.8960288,2.1299987,-3.0553432,0.524266,-2.8139477,0.5848521,-0.5205498,5.1440725,3.3053257,-3.2505572,-0.66732067,-0.2412751,2.545491,3.174283,-4.0026546,-0.8146254,0.24155833,0.35215265,-1.9879937,3.5124774,0.7093494,-1.1726514,1.3843006,-1.0483891,-0.97068226,2.3594716,0.89069563
mouse1_lib1.final_cell_0010,43.137352,-31.801285,10.381789,-12.53659,-0.12619501,1.2561402,3.1084142,0.63559806,4.343009,-7.8404603,8.732331,3.1939816,6.3009677,0.12901028,-6.075455,1.882767,3.2181711,0.016687416,-3.731021,-1.8879004,-1.3819152,5.9341927,-0.17885111,2.88792,-3.7251375,2.4724476,-5.1767087,2.1992676,-6.4318113,-0.29728675,-0.06387519,-0.74080426,1.1853607,-1.2901479,-3.5232763,2.8449483,-0.04167632,2.7767012,-1.0183839,0.86132014,-1.4915295,-0.03853054,3.0992641,0.048142772,-1.5534679,0.068938665,-0.28749648,-2.583615,-2.723108,1.136788
