,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
mouse1_lib1.final_cell_0001,0.23376325,0.8877333,0.53973335,0.05421547,0.5893373,-0.11213781,0.7409777,1.0717291,0.6262858,0.10000992,0.19515908,-0.16554305,0.23963238,-0.5304493,-0.3373033,-0.7265314,0.03882283,-0.3837482,-0.01709389,0.53187597,-0.37190545,0.04525286,0.14953703,0.088012934,-0.07982372,-0.12182228,-0.22726302,0.19612204,0.23305917,-0.3424247,0.6053504,0.027904332,-1.2559917,0.4233706,-0.10301831,-0.5754312,-0.85520434,0.41576818,-0.21445948,-0.52156377,0.3913284,-0.84456104,0.6919796,-0.052597016,0.41257626,-0.86801624,0.11000422,0.2975713,0.0035476983,0.11130369
mouse1_lib1.final_cell_0002,-0.098731324,-0.032029424,-1.5586351,0.28495434,0.04060784,-0.52495694,-1.5674913,0.54358083,0.42997366,1.0607514,1.4350905,0.16822413,-0.8361193,1.1840119,0.80904627,-0.6327056,0.75723803,-0.4143279,-1.4620054,-0.70841515,0.178064,0.9442373,-1.835517,1.0986408,-0.7063363,-0.60691124,0.27650276,-1.9278376,1.9974157,-0.04477243,-0.19660273,1.4848105,-1.5139933,1.1287621,-1.416055,0.55067617,-0.14162016,-1.7022536,0.37921822,0.53776175,0.870329,-0.7689153,-1.1093113,0.15547618,0.51235026,0.27129924,-0.3121737,-0.46636033,0.005202219,0.7036704
mouse1_lib1.final_cell_0003,0.22957431,0.8192882,-0.41834468,1.3188691,0.5145434,0.5194366,0.64497113,-0.48516715,0.15765224,0.34451503,0.075849116,-0.28034404,-0.53756845,-0.41245595,0.23382655,0.10225293,-0.1515288,0.5300119,0.02374953,0.034316957,-0.25378078,0.071241796,0.70664763,0.74038386,0.7909146,0.5755266,-0.7895695,0.5402922,-0.03228554,-0.61667633,0.76177776,0.73156345,-0.17608202,0.45436314,-1.6129221,-0.02639483,-0.1615634,0.14517626,-0.84915155,0.144225,0.24076483,-1.2161579,-0.09191728,-0.7846271,0.7112082,-0.8603225,-0.2631473,0.42675698,-0.025687039,0.43225262
mouse1_lib1.final_cell_0004,0.46836144,-0.034010727,-0.8353376,0.16657166,-0.026000679,0.64126027,-0.8867828,0.62429976,0.64062583,0.8526075,2.0072985,0.99446106,-0.8916404,0.9974168,0.8013768,-1.3376572,0.9392047,-0.58626264,-2.2247605,-1.3701816,0.014771625,1.7747996,-3.2522614,0.9373895,-1.4068598,-0.583967,1.2968407,-2.8288014,2.019546,-0.14219417,0.10558668,1.308335,-2.1855206,1.3159385,-0.5353558,0.7489792,0.12991568,-3.0914316,0.7521745,0.2848924,0.79250956,-0.85838926,-0.9096337,0.70070374,1.0934235,0.3410356,-0.8070978,-1.2252961,-0.8011718,0.98648447
mouse1_lib1.final_cell_0005,0.15220062,0.6057165,-0.43399882,1.3267457,0.49704581,0.6791129,0.44164437,-0.63152784,0.10892296,0.49224213,0.16131735,-0.3342332,-0.6046543,-0.4357404,0.38374493,0.11905885,-0.1744627,0.5465978,0.113990575,-0.11449427,-0.3635525,0.14275455,0.61653304,0.8184762,0.7522835,0.5204724,-0.7345201,0.31934524,0.035814017,-0.7078358,0.6997789,0.7999971,-0.2813171,0.5370225,-1.5091542,0.09083556,-0.10175668,0.05128037,-0.7891,0.2216039,0.21511342,-1.1756924,-0.26465422,-0.9671575,0.7371272,-0.58620894,-0.28730625,0.38298315,0.029044867,0.46585232
mouse1_lib1.final_cell_0006,0.48298442,0.84773844,0.38318437,-0.26622432,0.52959627,-0.20816065,0.66094697,1.08571,0.67235404,-0.0062218383,0.32887894,0.04171604,0.21318224,-0.25695205,-0.34068823,-0.60084987,0.004163675,-0.6970392,-0.19847266,0.57215136,-0.0374559,-0.19639674,0.10420278,0.021928191,0.07600024,-0.1619115,-0.15760063,0.06963402,0.33138674,-0.280497,0.55318046,0.021602616,-1.041553,0.42656508,-0.338281,-0.5574488,-0.72336805,0.47714975,-0.028853491,-0.4100912,0.61737,-0.9328404,0.63273716,0.009281009,0.3665789,-0.89250594,0.11221794,0.3058334,-0.24282101,0.09121637
mouse1_lib1.final_cell_0007,0.47265393,0.7463566,0.61347026,0.11464029,0.76761234,0.33025745,0.9080907,1.0406553,0.6879505,-0.09698365,0.35693228,0.03370376,0.3282135,-0.46185708,-0.5374311,-0.7792648,0.011420291,-0.4314353,-0.04916107,0.44951624,-0.2069873,0.023539886,0.04194346,-0.013899207,0.09726536,-0.10854563,-0.13043943,0.13848175,-0.09152919,-0.43670273,0.6636214,-0.05662334,-0.9736116,0.39217997,-0.22906686,-0.38483575,-0.9274589,0.2511236,0.25004494,-0.4275486,0.3957264,-0.92373574,0.76893985,-0.23959988,0.5449152,-0.82105714,-0.01288715,0.26338965,-0.10169398,0.03112121
mouse1_lib1.final_cell_0008,0.38218468,1.0026019,0.53166157,-0.099321865,0.64642787,-0.08296186,0.6721378,1.0454792,0.82329655,-0.08520089,0.2619564,0.15251684,0.24009898,-0.41866472,-0.30299622,-0.71473426,0.26891983,-0.52534276,-0.25464624,0.6904595,0.06993206,-0.20827569,0.48007834,-0.038820535,0.09930527,-0.08583686,-0.22711505,0.24206759,0.048277736,-0.22493792,0.6065985,-0.027593344,-0.8624801,0.13778839,-0.18946669,-0.73132896,-0.4973311,0.40885612,-0.18319663,-0.3118106,0.52277553,-1.0402572,0.75783026,-0.17549111,0.37196064,-1.3461025,0.22300032,0.35092813,-0.3577107,0.061158434
mouse1_lib1.final_cell_0009,0.47333616,0.6585988,0.5436448,0.261598,0.8750276,0.29231206,0.6298723,0.96220624,0.5424619,-0.18767956,0.298471,0.14259464,0.31737196,-0.3846922,-0.57806784,-0.52152103,-0.03469161,-0.31378818,-0.04449305,0.39133644,-0.27555218,0.22767568,0.3478045,0.11407669,0.13909169,-0.102417916,-0.14677235,0.3101914,-0.0039574206,-0.55616087,0.52031326,0.040237337,-0.9828409,0.37137085,-0.4457693,-0.5153649,-0.832463,0.3630355,0.18331856,-0.21373692,0.4051037,-1.0194404,0.6860461,-0.21932206,0.5397674,-0.82393193,0.044274807,0.29233372,-0.08837545,0.277582
mouse1_lib1.final_cell_0010,-0.018836059,0.2850733,-0.9914383,0.32925102,0.05394426,-0.35105395,-0.13759366,0.35374573,0.024579868,1.2477112,1.3771391,-0.22996846,-0.94345963,0.73786,0.9889002,-1.511241,0.90818554,-0.5033597,-1.1119301,-1.0149995,0.09798883,0.74478257,-2.0578046,1.2199496,-0.84919876,-0.41675323,0.53301036,-2.248413,1.6646641,0.13643904,0.14443414,1.3517842,-1.9606917,1.006436,-1.3407426,1.0668385,0.20170555,-2.0533464,0.62784696,-0.16416892,0.5976747,-0.45543256,-1.405145,-0.09655821,0.7887174,0.35042304,-0.216833,-0.5681224,-0.15278754,0.5921485
