,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.6514929016626327,0.9480449440788197,0.4962606837606838,0.8035091820843508,0.9227847891763956,0.7115384615384616
1,"(0, 2)",0.1,0.4225626992842289,0.9596547891345829,0.27093045843045843,0.7558218544401433,0.9405373111647845,0.6317501942501942
2,"(0, 3)",100.0,0.6194329662504023,0.9566501725628422,0.45799180327868855,0.7307305408812103,0.938863146866212,0.5981329690346083
3,"(0, 4)",10.0,0.6889242255841141,0.9413960703678453,0.5432347670250897,0.91531291908161,0.9193711859412672,0.9112903225806452
4,"(0, 5)",0.1,0.4991841838249782,0.9397910861991432,0.33985042735042736,0.5473222629378773,0.9235949369488095,0.3888888888888889
5,"(0, 6)",0.1,0.5860602311233765,0.949519720298694,0.42382677708764666,0.8084939597050445,0.9303767341596986,0.7148464458247067
6,"(0, 7)",0.01,0.05395643266961046,0.9372574237734548,0.027777777777777776,0.510099551616646,0.9113495000686894,0.3541666666666667
7,"(0, 8)",100.0,0.5695034183734298,0.9521153020570223,0.40625,0.19878718010405888,0.9424973227971135,0.1111111111111111
8,"(0, 9)",0.1,0.0669896668965931,0.9475522955683267,0.034722222222222224,0.5703332323387065,0.9035694127457741,0.4166666666666667
9,"(0, 10)",1.0,0.7973260292023381,0.9480163395110449,0.6879708097928436,0.8343027304745366,0.9366506492475052,0.7521186440677966
10,"(1, 2)",1.0,0.006966746049229309,0.9275847862361677,0.0034965034965034965,0.369054075377146,0.9208724696348489,0.23076923076923078
11,"(1, 3)",100.0,0.6540371019759322,0.9452416801214802,0.5,0.8388684267027718,0.9287965489799193,0.7648171500630517
12,"(1, 4)",0.01,0.8889684152667344,0.9077288465119887,0.8709677419354839,0.9294415715797059,0.8994183001641556,0.9615384615384616
13,"(1, 5)",0.01,0.6626918255411547,0.9279058338650898,0.5153846153846154,0.6613146745947077,0.8988649564210457,0.5230769230769231
14,"(1, 6)",10.0,0.8063812095709653,0.9212647216900479,0.7169732441471572,0.42852602285537444,0.9179505007774126,0.2795031055900621
15,"(1, 7)",1.0,0.0,0.9110203240096347,0.0,0.0,0.8753408162396233,0.0
16,"(1, 8)",0.1,0.020601586422415784,0.9260095753474081,0.010416666666666666,0.013784910166002898,0.9206551125313207,0.006944444444444444
17,"(1, 9)",100.0,0.0,0.9210538346010397,0.0,0.0,0.888323799120379,0.0
18,"(1, 10)",100.0,0.7267712385013998,0.9232366886573069,0.5992503259452412,0.18647563366618422,0.9152406688211313,0.1038135593220339
19,"(2, 3)",100.0,0.35520707140363966,0.948300067703003,0.21853146853146854,0.2927347482571488,0.9484553558733426,0.17307692307692307
20,"(2, 4)",100.0,0.802569510509244,0.9304740627651474,0.7055793668696895,0.7611560840825592,0.9210911163336147,0.648545003383713
21,"(2, 5)",100.0,0.25623416811669114,0.9294124944131812,0.1486013986013986,0.4307057285460765,0.9358549355207842,0.27972027972027974
22,"(2, 6)",10.0,0.8433812847325819,0.9334483539856469,0.7691656169917039,0.854532161126491,0.9419885695096093,0.7819354558484993
23,"(2, 7)",10.0,0.17120641008102835,0.9180940673828132,0.0944055944055944,0.5389306771319322,0.9000475326652049,0.38461538461538464
24,"(2, 8)",100.0,0.7705739667667257,0.9297180933153878,0.6579496891996892,0.7728044952056174,0.9291531143288343,0.6614947552447552
25,"(2, 9)",1.0,0.5545955862671333,0.9300094275769692,0.3951048951048951,0.5296860820092227,0.8965745642172508,0.3758741258741259
26,"(2, 10)",1.0,0.6467743970479918,0.9353414766177561,0.49428114258622735,0.7625869417788537,0.9366597368025771,0.6430751451937893
27,"(3, 4)",100.0,0.6076744159586301,0.9285478466176903,0.45161290322580644,0.0,0.9116911304334132,0.0
28,"(3, 5)",0.1,0.544752948228339,0.9296753129367504,0.38524590163934425,0.5634304461594887,0.9011575040542125,0.4098360655737705
29,"(3, 6)",0.1,0.5812195914755932,0.9399683867927899,0.42066744730679156,0.7211574193929831,0.9380971472901793,0.5857091945830364
30,"(3, 7)",1.0,0.0,0.9284075835127994,0.0,0.0,0.929486165947314,0.0
31,"(3, 8)",100.0,0.3615766778620002,0.94546000253132,0.2235314207650273,0.03890837826862627,0.939230168335384,0.01986566484517304
32,"(3, 9)",1.0,0.35759480423135265,0.9307486626340715,0.22131147540983606,0.4920135210360368,0.9208481377561457,0.33568609593199755
33,"(3, 10)",10.0,0.2787319869989415,0.9505705202830806,0.16330925257015838,0.08628151262312589,0.9378527965146323,0.04522089469297027
34,"(4, 5)",1.0,0.6407384844074335,0.9093726950565123,0.4946236559139785,0.4498361641461601,0.8891776983506711,0.3010752688172043
35,"(4, 6)",0.1,0.8258190028053174,0.9159381403896547,0.7518449876444266,0.9303799134484824,0.9070253588448148,0.9549689440993789
36,"(4, 7)",100.0,0.0,0.9085157471740634,0.0,0.673751502890029,0.8847849059905584,0.544
37,"(4, 8)",0.01,0.21840318591765767,0.927869671196128,0.12376792114695341,0.8611482125155078,0.9040513928857605,0.8221326164874552
38,"(4, 9)",1.0,0.0,0.9181508206867264,0.0,0.7216710351839957,0.901057287853868,0.6018518518518519
39,"(4, 10)",0.01,0.9090586891011662,0.914663693065966,0.9035219609987243,0.8906216061240866,0.9114074575158363,0.8707627118644068
40,"(5, 6)",10.0,0.4054145733576284,0.9285617111804554,0.2593167701863354,0.5411997957597047,0.9189441240584613,0.38354037267080743
41,"(5, 7)",10.0,0.0,0.9216807994907469,0.0,0.26371633516662213,0.911676386769777,0.15415384615384617
42,"(5, 8)",10.0,0.6145911108245764,0.9325070731923643,0.4583333333333333,0.7516199371291944,0.9180520552546275,0.6362713675213675
43,"(5, 9)",0.1,0.11298703948625831,0.9210132935582364,0.06018518518518518,0.009211193264445318,0.8872054646199015,0.004629629629629629
44,"(5, 10)",100.0,0.6254978929070685,0.9290878364573059,0.4714471968709257,0.5580823847228797,0.8896897655990076,0.4065514993481095
