,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",0.1,0.40396920580088247,0.9443044252053231,0.2569444444444444,0.8720293905661355,0.932517746776101,0.8189102564102564
1,"(0, 2)",1.0,0.6667818156018884,0.96394392830821,0.5096639471639473,0.841795280223695,0.9666845811778033,0.745483682983683
2,"(0, 3)",0.01,0.42769581619975416,0.9515085663199506,0.2758424408014572,0.8639992340579579,0.9408918316197801,0.7987249544626593
3,"(0, 4)",10.0,0.69540584316329,0.948786782606338,0.5488351254480287,0.8969972045886068,0.9305088915801917,0.8658154121863799
4,"(0, 5)",0.01,0.4314399859053229,0.9504095377876273,0.27905982905982907,0.8871835456575036,0.9338262092350542,0.8449786324786326
5,"(0, 6)",0.1,0.7880900505873477,0.9481643400750634,0.6742581090407177,0.9016741562135094,0.9363452992285612,0.8694789510006902
6,"(0, 7)",0.1,0.5428557685696153,0.9367151014882713,0.3821666666666667,0.918210275215643,0.934179569281487,0.9027777777777778
7,"(0, 8)",0.1,0.0669743300709844,0.9414533986342124,0.034722222222222224,0.837108583700357,0.9416307811608493,0.7534722222222223
8,"(0, 9)",0.01,0.4285653280054662,0.9374416184820754,0.2777777777777778,0.8989886785804325,0.932207866493523,0.8680555555555556
9,"(0, 10)",0.01,0.35270227773459933,0.9518345124271824,0.216454802259887,0.8660154981889914,0.9432187613321015,0.8004943502824858
10,"(1, 2)",1.0,0.22495614298566843,0.9478624369783558,0.12762237762237763,0.5875268839062993,0.9350988381143398,0.42832167832167833
11,"(1, 3)",10.0,0.31333376427006254,0.9271087461775913,0.1885245901639344,0.5753141020295739,0.9223348033286108,0.4180327868852459
12,"(1, 4)",0.1,0.33514578175545656,0.915287943129288,0.20512820512820512,0.4132445813346727,0.8930573784629675,0.26881720430107525
13,"(1, 5)",1.0,0.15495021350148877,0.918113563660667,0.08461538461538462,0.6286443890009338,0.8944889168979852,0.4846153846153846
14,"(1, 6)",100.0,0.254576478968176,0.9282999983273282,0.14751552795031056,0.16527366607982444,0.9152527452449265,0.09083850931677019
15,"(1, 7)",100.0,0.4582333758520506,0.9187979635367169,0.3052307692307692,0.26280359461757324,0.9007013006040958,0.15384615384615385
16,"(1, 8)",0.1,0.6084344459661714,0.9174802038743244,0.4551282051282052,0.8677057955654437,0.9146802502478651,0.8253205128205128
17,"(1, 9)",0.01,0.24820062979950694,0.9172163240106639,0.14351851851851852,0.7324369453721935,0.9044776771030167,0.6153846153846154
18,"(1, 10)",10.0,0.31742686482818616,0.9310223004055614,0.19132985658409388,0.5797562653222476,0.917662251734897,0.423728813559322
19,"(2, 3)",10.0,0.5281920729085408,0.9544481550671002,0.3651266766020865,0.8418782514233378,0.9470384540564214,0.7577381634758684
20,"(2, 4)",0.1,0.5210853906663111,0.9417275529022311,0.3601962553575457,0.7678108394314971,0.9348001650897664,0.6514399578915708
21,"(2, 5)",10.0,0.419489961498852,0.9449774417970678,0.26958041958041956,0.6628900166017905,0.9367375856966687,0.512937062937063
22,"(2, 6)",10.0,0.5563254878013939,0.9512479230441778,0.393117751813404,0.8868720684324102,0.9449943849303004,0.8354851670069061
23,"(2, 7)",100.0,0.30572218010312,0.9445026214356191,0.1823776223776224,0.8780249799618849,0.9339672392285914,0.8284055944055944
24,"(2, 8)",1.0,0.6277992576550194,0.9408708687530962,0.47105672105672103,0.8804260446010393,0.9456794674406103,0.8235965423465423
25,"(2, 9)",10.0,0.540051754305346,0.940425219163942,0.3787878787878788,0.8928042646954095,0.9427281120757927,0.8479020979020979
26,"(2, 10)",100.0,0.18025416680562684,0.9538288501230507,0.0995318241080953,0.8386816550287435,0.9530845574312186,0.7487999288846747
27,"(3, 4)",10.0,0.6578392961562497,0.9338755819360094,0.5077560373699983,0.9092062501545366,0.9195596675766168,0.8990833774017275
28,"(3, 5)",10.0,0.5822295495818313,0.9314919735847383,0.42345523329129886,0.9210633397625038,0.9154617309941911,0.926733921815889
29,"(3, 6)",0.01,0.38237813310989205,0.9291565075030539,0.24072141329803481,0.09322776484001834,0.9237016828613025,0.049091233071988594
30,"(3, 7)",0.01,0.47489125249623526,0.9364972559103352,0.3180983606557377,0.9167974349160729,0.9238661517415251,0.9098360655737705
