,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.6944843567308691,0.9260678498724803,0.5555555555555556,0.9021361646250846,0.9014954628263914,0.9027777777777778
1,"(0, 2)",0.1,0.06419002198195391,0.9503649652774318,0.033216783216783216,0.7991394212122087,0.9343132101148619,0.6981351981351982
2,"(0, 3)",100.0,0.5144010451346922,0.9516489245091501,0.3524590163934426,0.8537122756396851,0.9278738533211226,0.790528233151184
3,"(0, 4)",100.0,0.2572832337145278,0.9338537967260652,0.14919354838709678,0.8527336535516769,0.8957978086072074,0.8136200716845878
4,"(0, 5)",100.0,0.5820742965762935,0.9474007530526182,0.4200854700854701,0.8661539435089609,0.9087764153818466,0.8273504273504273
5,"(0, 6)",0.1,0.6227352662196592,0.946979497561773,0.46389751552795033,0.8537925716852841,0.9219335756850034,0.7950310559006211
6,"(0, 7)",1.0,0.4833014652715313,0.9236207397352081,0.3272777777777778,0.7922354444422199,0.9074188341435592,0.7030000000000001
7,"(0, 8)",0.1,0.5878217279008062,0.9425704281106277,0.4270833333333333,0.8787400806706439,0.93817270347627,0.8263888888888888
8,"(0, 9)",0.01,0.6542274076333909,0.9378596894732892,0.5023148148148149,0.8958955041062208,0.9127742805512093,0.8796296296296297
9,"(0, 10)",100.0,0.5053691729567876,0.9426757391559519,0.3452212806026365,0.8928983530041132,0.9159283067005126,0.8709981167608286
10,"(1, 2)",0.1,0.017318142519627478,0.920957559597206,0.008741258741258742,0.2532398605330648,0.9190103379937989,0.14685314685314685
11,"(1, 3)",1.0,0.8144164300740333,0.9137654474368989,0.7345523329129886,0.8941388033958574,0.9119076565837752,0.8770491803278688
12,"(1, 4)",1.0,0.08357219573522334,0.8927905877956752,0.04383788254755997,0.0,0.8691959007598551,0.0
13,"(1, 5)",100.0,0.8292841504752779,0.8995082130189717,0.7692307692307692,0.8836536711600789,0.8904883823589818,0.8769230769230769
14,"(1, 6)",1.0,0.5351853758646055,0.9218984911019038,0.3770305781175346,0.898767563326991,0.9079681660367653,0.889751552795031
15,"(1, 7)",0.1,0.2627169171468747,0.8986689556933614,0.15384615384615385,0.0,0.8976263888548132,0.0
16,"(1, 8)",10.0,0.21476914122231242,0.9076069850027122,0.12179487179487179,0.12292793003862246,0.8994416636864955,0.06597222222222222
17,"(1, 9)",10.0,0.0,0.9043839048707323,0.0,0.0,0.8912472300707935,0.0
18,"(1, 10)",0.1,0.0,0.9091770482267548,0.0,0.0084346708489039,0.8956209124325577,0.00423728813559322
19,"(2, 3)",0.1,0.17043185760568655,0.9451539570095157,0.09366043792273301,0.733639874768781,0.9402206184313364,0.6014845809927777
20,"(2, 4)",10.0,0.6469755862899362,0.9211060798777732,0.4985901195578615,0.12903605145946942,0.9231188162887689,0.06936611775321452
21,"(2, 5)",0.1,0.1586597794714925,0.9316789405356728,0.08671328671328672,0.04436686027214924,0.9270492508103574,0.022727272727272728
22,"(2, 6)",100.0,0.17335570695208183,0.9385902484323643,0.09549689440993789,0.14860338317621088,0.9310740721319353,0.08074534161490683
23,"(2, 7)",100.0,0.04436638545138583,0.926634813951199,0.022727272727272728,0.0034898721257473064,0.9200473430501371,0.0017482517482517483
24,"(2, 8)",100.0,0.5993819181105368,0.9357342725959266,0.4408993783993784,0.8256373465076204,0.9338891888728599,0.7398747086247086
25,"(2, 9)",0.1,0.003489877422459685,0.9207842026302067,0.0017482517482517483,0.006966368790901242,0.9143985295486718,0.0034965034965034965
26,"(2, 10)",0.01,0.33743447624689055,0.9241676615555109,0.20639741614317886,0.12386250532618592,0.9138221363179019,0.06643356643356643
27,"(3, 4)",0.1,0.11610978576786117,0.9210864380652721,0.06196016217169047,0.026736026919135496,0.8848729875647915,0.013573065397496916
28,"(3, 5)",100.0,0.7747574044600894,0.9127420858459043,0.6730138713745271,0.8660545516588227,0.9154834348019888,0.8216897856242118
29,"(3, 6)",0.01,0.6991130472666691,0.9271499566499871,0.5611063028204867,0.8582578233838994,0.9275039313410312,0.7986330312595458
30,"(3, 7)",10.0,0.05545192640984247,0.9172519834860731,0.02859016393442623,0.016247994035441644,0.915651923884294,0.00819672131147541
31,"(3, 8)",10.0,0.19703968292293464,0.9335587443580514,0.11014344262295082,0.0,0.9275054176525506,0.0
32,"(3, 9)",0.01,0.21646711980558095,0.9252709193585257,0.12257134183363691,0.016248934861492387,0.9216666933580826,0.00819672131147541
33,"(3, 10)",1.0,0.37991553761420616,0.936993339139981,0.23826062795220895,0.008435942076104864,0.9252300247527769,0.00423728813559322
34,"(4, 5)",100.0,0.6844247184286368,0.9109067366965427,0.5481389578163772,0.8524637163311116,0.8865209788905093,0.8209263854425144
35,"(4, 6)",0.01,0.5064573536767666,0.9213697192834915,0.3492035664195552,0.1677791582094815,0.9116582120765382,0.09239130434782608
36,"(4, 7)",10.0,0.27316799447095236,0.9036802168534446,0.1609032258064516,0.0,0.8663611533737327,0.0
37,"(4, 8)",0.1,0.500814476479364,0.9262203741700193,0.34318996415770614,0.6012849868109065,0.8927525655609679,0.4532930107526882
38,"(4, 9)",100.0,0.41746999436196075,0.9112136277838506,0.27075866188769415,0.9185968825147647,0.896684602354555,0.9416069295101552
39,"(4, 10)",100.0,0.03138660983802993,0.9071732863914301,0.015969564425004558,0.5793026041677614,0.8912687795003469,0.4291051576453435
40,"(5, 6)",0.01,0.8610113181778607,0.9121516178417708,0.8153010033444816,0.8419059726248185,0.9144626306228757,0.7800167224080268
41,"(5, 7)",1.0,0.10879467734341809,0.9123935793780452,0.05784615384615385,0.11252040396667032,0.9026188323428472,0.06
42,"(5, 8)",0.1,0.8998211816746153,0.9155016570661751,0.8846688034188035,0.7794127073836564,0.912542745176743,0.680181623931624
43,"(5, 9)",10.0,0.0795618614827185,0.9119291722844817,0.041595441595441596,0.03327666955509578,0.9004370219229898,0.01695156695156695
44,"(5, 10)",10.0,0.8718193444974672,0.9225196278266288,0.8264015645371579,0.8679767755549134,0.9057667502936487,0.8332138200782269
45,"(6, 7)",10.0,0.34522678626472103,0.9152787824951463,0.2127329192546584,0.021474662414473118,0.8826029073852544,0.010869565217391304
46,"(6, 8)",1.0,0.5193224852884526,0.9440516539847449,0.3581780538302277,0.01080571255652566,0.9197220269385377,0.005434782608695652
47,"(6, 9)",0.1,0.18572979382884022,0.9247071283595392,0.10323211410167932,0.05272694127826724,0.915507893882674,0.02714515757994019
48,"(6, 10)",0.1,0.649442588154293,0.9334752679558486,0.49793399305190017,0.8828996194230619,0.9068929038646707,0.8601431729655753
49,"(7, 8)",0.01,0.7485305161292157,0.9155897263432276,0.6330277777777777,0.7478420540597076,0.9086595354681875,0.6353888888888889
50,"(7, 9)",10.0,0.14477197971499747,0.9017574452926637,0.0787037037037037,0.0,0.8814857882932121,0.0
51,"(7, 10)",0.01,0.2668197442966195,0.9107860992032327,0.1563050847457627,0.5330859416694143,0.9005902453004414,0.378593220338983
52,"(8, 9)",10.0,0.366875767997837,0.9192864092152515,0.22916666666666669,0.1408341913202406,0.9007484837797003,0.0763888888888889
53,"(8, 10)",10.0,0.5287967729564002,0.9319771606562328,0.3691148775894539,0.8682876077673091,0.9047069938933127,0.834686911487759
54,"(9, 10)",0.01,0.26865030948070184,0.9160186686394928,0.1574074074074074,0.0,0.9048689763749276,0.0
