,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",0.01,0.09406901684825675,0.962683273700454,0.04945054945054945,0.6479405114704526,0.9202145270629067,0.5
1,"(0, 2)",0.01,0.0,0.9700466533412977,0.0,0.0,0.9681236846853908,0.0
2,"(0, 3)",0.1,0.45440260709900915,0.9721248636014883,0.2964975845410628,0.9762554839287544,0.9536124185312009,1.0
3,"(0, 4)",0.01,0.0,0.964045899751112,0.0,0.4213578904130128,0.9375948198863574,0.2717391304347826
4,"(0, 5)",10.0,0.39079008510745944,0.98643855011349,0.2436594202898551,0.9691230250417413,0.9400957132454939,1.0
5,"(0, 6)",1.0,0.09046380630872747,0.9655645033925229,0.04745493107104984,0.19546869969883676,0.9499267904940906,0.10894308943089431
6,"(0, 7)",100.0,0.1255492020034908,0.9708646864289372,0.06711409395973154,0.9758379476586859,0.9528159585954631,1.0
7,"(0, 8)",0.01,0.0029026411181539823,0.9730901794561971,0.0014534883720930232,0.8600704472292344,0.9554926724800197,0.7819767441860466
8,"(0, 9)",0.01,0.6122073097330817,0.9771391926008596,0.4457377610407395,0.9690048044610352,0.9617421786666633,0.9763779527559056
9,"(0, 10)",0.01,0.20796057792571915,0.9692311114580323,0.11647597254004577,0.8652686298719545,0.9429279762496221,0.7994279176201373
10,"(1, 2)",0.1,0.15798744405489382,0.9783423588980854,0.08593208593208594,0.053436135502219845,0.9728986577654314,0.027472527472527472
11,"(1, 3)",0.01,0.7199135396672661,0.9726572583708456,0.5714285714285714,0.6564178716382572,0.9552561344912895,0.5
12,"(1, 4)",0.01,0.03241414499173614,0.9663785742193508,0.016483516483516484,0.02018993081133969,0.9440378752658849,0.01020408163265306
13,"(1, 5)",10.0,0.14272598586675722,0.9872982143877884,0.07692307692307693,0.9795075415173916,0.9598380991211263,1.0
14,"(1, 6)",0.1,0.30527324007402623,0.9712942438370834,0.18109532743679085,0.46904488674827055,0.96558857382663,0.3097560975609756
15,"(1, 7)",1.0,0.3649964875483515,0.9685483570848145,0.22486909064090274,0.6490063542010688,0.9439200977387497,0.4945054945054945
16,"(1, 8)",100.0,0.010927466798724044,0.9755758599906582,0.005494505494505495,0.7029727338006341,0.9697654818747803,0.5513033478149757
17,"(1, 9)",1.0,0.5648953727503131,0.9747531674469587,0.3976810590983819,0.9712795662312653,0.9662341479629435,0.9763779527559056
18,"(1, 10)",0.1,0.5043713268767009,0.9710165162013299,0.34065934065934067,0.9741567344205124,0.9643062661880122,0.9842105263157894
19,"(2, 3)",1.0,0.0,0.9782850052784726,0.0,0.0,0.9728353936992714,0.0
20,"(2, 4)",0.1,0.14042929766536422,0.9760426853987523,0.07565728994300422,0.0,0.96540040389714,0.0
21,"(2, 5)",1.0,0.5126798380836837,0.9823633924708487,0.34684684684684686,0.29134424475587245,0.9778744296154651,0.17117117117117117
22,"(2, 6)",1.0,0.004865978596645786,0.9832692388916183,0.0024390243902439024,0.001624674626698173,0.9845264860063091,0.0008130081300813008
23,"(2, 7)",1.0,0.1919264540601054,0.9770403076568819,0.10641513997218696,0.0,0.9760626954956615,0.0
24,"(2, 8)",0.01,0.29523115578605796,0.9885330318774302,0.17352817934213283,0.49407325349863007,0.9831432899894305,0.32994186046511625
25,"(2, 9)",10.0,0.3156991147241209,0.9847138830031168,0.1879832588494006,0.17245827366400868,0.9750584453778449,0.0945945945945946
26,"(2, 10)",0.01,0.6096104845533606,0.9753346546354393,0.443361782835467,0.9358907635629545,0.9817550898981963,0.8941204362256994
27,"(3, 4)",1.0,0.6496181270631839,0.964259569193369,0.4897959183673469,0.657380788098772,0.9593460688484176,0.5
28,"(3, 5)",1.0,0.6381491999408159,0.983848880167042,0.4722222222222222,0.39705752442067144,0.9642703902984512,0.25
29,"(3, 6)",0.1,0.8704323135946151,0.9728363023907985,0.7875338753387533,0.9289298359975481,0.9682448982961499,0.8926829268292683
30,"(3, 7)",1.0,0.6180648063655749,0.9676007389062448,0.45404548844146164,0.9793866084320612,0.9596058767438451,1.0
31,"(3, 8)",0.1,0.0,0.978164155871637,0.0,0.22612773026064967,0.9743009110251004,0.12790697674418605
32,"(3, 9)",0.01,0.0,0.9745552132726942,0.0,0.9604643067747693,0.9450610835942198,0.9763779527559056
33,"(3, 10)",1.0,0.6304448134155092,0.9751619783948797,0.46578947368421053,0.974109734159898,0.9642141614363537,0.9842105263157894
34,"(4, 5)",0.01,0.7174003658238925,0.9783990922564789,0.5663265306122449,0.8662912610111458,0.9564486401001603,0.7916666666666667
35,"(4, 6)",0.01,0.34844078447129856,0.9731592998068191,0.21221171395387423,0.2241033945201298,0.9616894916680716,0.12682926829268293
36,"(4, 7)",1.0,0.28630337262552835,0.9613930256168578,0.16819613751540885,0.6520653546530728,0.9370514885099984,0.5
37,"(4, 8)",1.0,0.15269314438301446,0.972772520601953,0.08284883720930232,0.49220905568365464,0.9685444806537791,0.32994186046511625
38,"(4, 9)",10.0,0.020196432593659587,0.9733405428294363,0.01020408163265306,0.6676435680695783,0.9599101012531907,0.5118110236220472
39,"(4, 10)",0.01,0.02019506279224614,0.9670183568791653,0.01020408163265306,0.64410933649752,0.9616813248321132,0.4842105263157895
40,"(5, 6)",10.0,0.554712276742222,0.9922644261279703,0.3849593495934959,0.9152418395731627,0.9631796111997587,0.8718495934959349
41,"(5, 7)",1.0,0.5641574313948569,0.9858781156267605,0.39513422818791943,0.966710245613203,0.9545667709349954,0.9791666666666667
42,"(5, 8)",0.1,0.002902722553557499,0.9917452806876379,0.0014534883720930232,0.07005790307803726,0.9729384983712076,0.036337209302325583
43,"(5, 9)",1.0,0.859916881214938,0.9810328764151335,0.7654199475065617,0.8979820685767287,0.9771116515823345,0.8307086614173229
44,"(5, 10)",0.01,0.31510552472177294,0.9864396609349728,0.1875,0.00524894846134567,0.9721022567501456,0.002631578947368421
45,"(6, 7)",10.0,0.15014192258058415,0.972616031767768,0.08134992088175914,0.9355346895671629,0.9628167945058528,0.9097560975609755
46,"(6, 8)",1.0,0.00809635455327409,0.9758429964580514,0.0040650406504065045,0.056450310809216885,0.9714504025917733,0.029069767441860465
47,"(6, 9)",0.1,0.00809655742228776,0.9817728883953737,0.0040650406504065045,0.024923318740090995,0.9688617088293019,0.012624031752128544
48,"(6, 10)",1.0,0.4506472259348743,0.9759540979314443,0.2929610611895592,0.9283656699002789,0.9703050227438231,0.8899015832263586
49,"(7, 8)",1.0,0.5484407091533154,0.9748009667407138,0.3815553301076947,0.8285181280623035,0.9509570971972293,0.7340116279069767
50,"(7, 9)",0.01,0.32536101771414644,0.9742165050961362,0.19529144427416373,0.9695741939606188,0.9628646011434022,0.9763779527559056
51,"(7, 10)",1.0,0.6571764728991637,0.9682973906194214,0.49736842105263157,0.9715757691407402,0.9617744170090966,0.9815789473684211
52,"(8, 9)",0.1,0.22982057493739574,0.9846121633183,0.1300929316974913,0.8874213471349383,0.9759940666706785,0.8135872550814869
53,"(8, 10)",1.0,0.25612373517473247,0.9768335479716899,0.14738372093023255,0.2329341860489416,0.9749660982280532,0.13226744186046513
54,"(9, 10)",0.1,0.09989679337333275,0.9797556513439866,0.05263157894736842,0.013048543870930629,0.9670621003717998,0.0065685868213841685
