,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.8316550386990699,0.9601099633488194,0.7335164835164836,0.9191402319572668,0.9552158318137999,0.8856903965599618
1,"(0, 2)",100.0,0.6582664837194792,0.9531154172732731,0.5027418723070898,0.6272066427008016,0.9580249034747302,0.46621621621621623
2,"(0, 3)",100.0,0.7175973909941261,0.9596160863921249,0.5730676328502415,0.4613656149250767,0.9530685293764023,0.30434782608695654
3,"(0, 4)",100.0,0.8393131372122157,0.951701560764771,0.7506654835847382,0.8968605545938781,0.9510775390849032,0.8484915705412599
4,"(0, 5)",100.0,0.5235128333183499,0.9555877683365641,0.36050724637681164,0.6987685616697281,0.9371578999186791,0.5570652173913043
5,"(0, 6)",100.0,0.607803480127853,0.9719351836926491,0.44215270413573704,0.5889642847067781,0.9548415123883284,0.4258041710851891
6,"(0, 7)",100.0,0.7278353015580865,0.9649715971249191,0.5842573679603151,0.7698169412751652,0.9544787448422901,0.6450248030347242
7,"(0, 8)",100.0,0.5979400877577242,0.9799191148331475,0.43023255813953487,0.6121514582826001,0.9763555662917118,0.44584175935288173
8,"(0, 9)",100.0,0.7615177894168159,0.9566828926988524,0.6324888736733996,0.8048592442383443,0.9436803316455067,0.7016432728517631
9,"(0, 10)",100.0,0.7867822700460266,0.9643952506253073,0.66441647597254,0.8469611905968703,0.9528665114584748,0.7622425629290618
10,"(1, 2)",100.0,0.6127565718446095,0.968604223751401,0.4481239481239481,0.6440894403579326,0.9723153104113172,0.48153648153648154
11,"(1, 3)",100.0,0.7321690979489052,0.9748454454649624,0.5862332112332113,0.6466382045397091,0.975859369027707,0.4835164835164835
12,"(1, 4)",100.0,0.11660450605876753,0.9752163042535259,0.0620094191522763,0.677427900879206,0.9647348570980623,0.521978021978022
13,"(1, 5)",100.0,0.7951940786287908,0.978199546322235,0.6698717948717949,0.7801663491148585,0.9537731069511415,0.6600274725274725
14,"(1, 6)",100.0,0.9261075910218519,0.980010119093166,0.8778254266059144,0.9262645258279282,0.9679735407432482,0.8880014294648442
15,"(1, 7)",100.0,0.9537739905116367,0.9752964576154659,0.9331809130466848,0.8965801862369159,0.9776343795952323,0.8279371635076334
16,"(1, 8)",100.0,0.7286601574275057,0.9806417887265533,0.5797022744697163,0.8051510684284043,0.9788777620530907,0.6837944032711475
17,"(1, 9)",100.0,0.9345078067945846,0.9634628493615865,0.9072423639352774,0.9170510684967995,0.9406477060063464,0.8946093276801939
18,"(1, 10)",100.0,0.946735208164357,0.977899764305791,0.9174956622325043,0.9642041380603055,0.9737948864333956,0.9548004626951996
19,"(2, 3)",100.0,0.4077691998283521,0.9683895338862677,0.25825825825825827,0.026642864957587806,0.9372052690382505,0.013513513513513514
20,"(2, 4)",100.0,0.8748502030834031,0.9642709133851888,0.8006067291781578,0.8245710334035333,0.9633878068009124,0.7207207207207207
21,"(2, 5)",100.0,0.6136385101569043,0.9753379991931257,0.4476351351351352,0.6042950279766985,0.9496939889395247,0.44313063063063063
22,"(2, 6)",100.0,0.6691800087810877,0.9696376542010687,0.5108767303889254,0.6857141511855239,0.9736061005663927,0.529224346297517
