,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.6753096580998506,0.9610398202213672,0.5205446727185857,0.38877690157463035,0.9465681946996638,0.2446249402771142
1,"(0, 2)",1.0,0.6189555874907312,0.9629999917813858,0.4560321190755973,0.6783790195610534,0.9594449026028558,0.5246768507638073
2,"(0, 3)",10.0,0.6912684534976709,0.9684687607898427,0.53743961352657,0.7198276567785281,0.9591463277516878,0.5760869565217391
3,"(0, 4)",100.0,0.0,0.9648837804606762,0.0,0.1409727621131097,0.9575969905528895,0.07608695652173914
4,"(0, 5)",0.1,0.5218549590893815,0.9772093304938516,0.3559782608695652,0.5437406047097292,0.9701744506890861,0.37771739130434784
5,"(0, 6)",0.1,0.7729605771141811,0.9587845440496048,0.6474726051608342,0.7248492947453282,0.9488577772800824,0.5864086249558147
6,"(0, 7)",100.0,0.048924983011835385,0.9708047416155018,0.025094835132769184,0.14104867554996522,0.9646503681630814,0.07608695652173914
7,"(0, 8)",100.0,0.6134242045752215,0.960585570962065,0.45058139534883723,0.6511586436653233,0.9662794597919224,0.4910262891809909
8,"(0, 9)",100.0,0.40463864856441917,0.9637612481311597,0.25607668606641565,0.12212898533198945,0.958960778917294,0.06521739130434782
9,"(0, 10)",100.0,0.6230144356817742,0.9712889262680235,0.4585812356979405,0.7010995483659297,0.9515005243648693,0.5550343249427918
10,"(1, 2)",100.0,0.5994742635454697,0.966595396695235,0.4344619344619345,0.7235653398293271,0.971142135854258,0.5765765765765766
11,"(1, 3)",100.0,0.6552005175658461,0.9694375747559241,0.49481074481074483,0.6556747090848408,0.952115232869138,0.5
12,"(1, 4)",0.1,0.6596835142781785,0.9692206254407133,0.5,0.09258264899824961,0.9488271032520887,0.04866562009419152
13,"(1, 5)",100.0,0.8262713944150096,0.9811956196758298,0.7135989010989011,0.8868679618969504,0.9762213016699772,0.8125
14,"(1, 6)",100.0,0.9428838969462877,0.9617071473553076,0.9247833467345663,0.6109017037119961,0.9607701638601844,0.44782453319038684
15,"(1, 7)",100.0,0.6799252512747571,0.975449104460599,0.5218305184748138,0.7630482627685483,0.9732518294326921,0.62751677852349
16,"(1, 8)",100.0,0.7131329945728786,0.9636833323813728,0.565981983133146,0.7541673895200974,0.9644060062747783,0.6191860465116279
17,"(1, 9)",0.01,0.7774150659291357,0.9699551264570361,0.648654495111188,0.9044471643409155,0.9608098637808601,0.8543307086614174
18,"(1, 10)",100.0,0.6899909650054213,0.9737369074312627,0.5342972816657027,0.6795295495505814,0.9593456487417404,0.5260844418739156
19,"(2, 3)",100.0,0.9509575438602359,0.975574270158076,0.9275525525525525,0.9488242828905178,0.9756620854536178,0.9234234234234234
20,"(2, 4)",100.0,0.6199375355331137,0.9726569786501804,0.45495495495495497,0.9309619886379629,0.9700224057073016,0.8949255377826806
21,"(2, 5)",0.1,0.6342961991927335,0.9818498699350395,0.46846846846846846,0.7498820400308559,0.928407694208166,0.6289414414414414
22,"(2, 6)",10.0,0.864756524619826,0.9678023746096631,0.7815425181278839,0.9329555750303483,0.9187212899104006,0.9476378817842233
23,"(2, 7)",1.0,0.6471447114163409,0.9772753442452328,0.4837354132656146,0.6135998963743835,0.9832564020110078,0.44594594594594594
24,"(2, 8)",100.0,0.7605546809404927,0.9775544488602159,0.6223941965221035,0.8888946445735242,0.9729850817973915,0.8181830085899853
25,"(2, 9)",100.0,0.20729840440021796,0.9797844679936946,0.1159111867773285,0.5724879736981864,0.9738459053219203,0.40540540540540543
26,"(2, 10)",0.01,0.7242314375998027,0.979759010554764,0.5744191559981033,0.9373280637901539,0.9781945835765364,0.8997392128971076
27,"(3, 4)",0.1,0.6601416633742113,0.9712012215564398,0.5,0.656481900681437,0.9555273826673183,0.5
28,"(3, 5)",0.1,0.7688966783478295,0.9816315769950741,0.6319444444444444,0.7020326414923733,0.9745775857098885,0.5486111111111112
29,"(3, 6)",100.0,0.621747868332468,0.965356311117088,0.4585365853658537,0.7166608601039869,0.9582571729751006,0.5723577235772358
30,"(3, 7)",100.0,0.6049859046343083,0.9762956976878532,0.4382923191648024,0.12964289888483332,0.973717155791382,0.06944444444444445
31,"(3, 8)",10.0,0.7993359966817324,0.9647717419967599,0.6823320413436693,0.5966585091402142,0.9657144161101656,0.4316860465116279
32,"(3, 9)",100.0,0.8598912384920315,0.9686727474436501,0.7730752405949257,0.5078537615242007,0.9650593902910047,0.34459755030621175
33,"(3, 10)",100.0,0.930677389719036,0.9758839372242171,0.8894736842105263,0.9686377875872828,0.9585430901709064,0.9789473684210526
34,"(4, 5)",0.1,0.4741325759438893,0.9820969033537641,0.3125,0.47348771764109143,0.9765869107056003,0.3125
35,"(4, 6)",100.0,0.9469128127734547,0.9605066812674582,0.9336983573917372,0.5668276027429936,0.9582571729751006,0.4024390243902439
36,"(4, 7)",100.0,0.10178840941533472,0.9769416925198945,0.053691275167785234,0.0,0.9750902748877301,0.0
