,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",1.0,0.6084599759030925,0.8462214328121138,0.475,0.9097915074007036,0.8434209075501208,0.9875
1,"(0, 2)",0.1,0.468667331499011,0.8499713991257474,0.3235294117647059,0.0,0.8493149641314516,0.0
2,"(0, 3)",100.0,0.47876332037861674,0.8493077777066083,0.3333333333333333,0.4781064554086417,0.8451879503437111,0.3333333333333333
3,"(0, 4)",100.0,0.5822656728377575,0.8449162454041507,0.4441860465116279,0.5593260186970058,0.8521535244315926,0.41627906976744183
4,"(0, 5)",0.1,0.5840694205381279,0.8529261048154125,0.44408602150537635,0.3658763106797073,0.8470169424706065,0.23333333333333334
5,"(0, 6)",1.0,0.5762022925985003,0.8469166308672045,0.43663366336633663,0.47667988717488247,0.8534347578312517,0.3306930693069307
6,"(0, 7)",100.0,0.3601446790612654,0.8670592270370049,0.22727272727272727,0.0,0.8685611898292902,0.0
7,"(0, 8)",1.0,0.0,0.8523479753040857,0.0,0.0,0.8480852494387437,0.0
8,"(0, 9)",100.0,0.0,0.9779313895220706,0.0,0.0,0.9624186554529648,0.0
9,"(0, 10)",100.0,0.0,0.8436636770365362,0.0,0.0,0.8294334329675825,0.0
10,"(1, 2)",1.0,0.8473449133792157,0.8420604928277443,0.8526960784313725,0.9050659423028274,0.8424805648424477,0.9776960784313725
11,"(1, 3)",0.1,0.6263129426640098,0.8570788251091861,0.493452380952381,0.6212792049265884,0.8562505134561094,0.4875
12,"(1, 4)",0.1,0.5076462106135329,0.8419268398141408,0.3633720930232558,0.36691769803542124,0.8379504992868018,0.23488372093023255
13,"(1, 5)",0.01,0.047788574291828326,0.8366309207025808,0.024596774193548387,0.0021477789646787157,0.837157026064695,0.001075268817204301
14,"(1, 6)",10.0,0.29898162031842695,0.8331639405815071,0.18217821782178217,0.013747481952534198,0.8364888172083005,0.006930693069306931
15,"(1, 7)",100.0,0.016505007140322332,0.8508111416607047,0.008333333333333333,0.008292802119140758,0.8525118936460867,0.004166666666666667
16,"(1, 8)",0.1,0.6185417643422491,0.8459311076385555,0.4875,0.7893289565119541,0.8432543737057402,0.7418859649122806
