,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.6634602551206796,0.9857086201788583,0.5,0.9898990271174438,0.9840350286034079,0.9958333333333333
1,"(0, 2)",10.0,0.9931713673600829,0.9864353626455531,1.0,0.995259932983795,0.9905645904412239,1.0
2,"(0, 3)",0.01,0.02816505074714722,0.9901078350619442,0.014285714285714285,0.0,0.9902212702877531,0.0
3,"(0, 4)",0.1,0.7900357448957678,0.9898004908826237,0.6573643410852713,0.5835671309400724,0.9886625276239323,0.413953488372093
4,"(0, 5)",100.0,0.48878394959068516,0.9878326786681322,0.3247311827956989,0.42460315076301747,0.9949245363132805,0.2698924731182796
5,"(0, 6)",0.01,0.9913562424293823,0.9896490778918623,0.9930693069306931,0.9834241603272821,0.9836801370105168,0.9831683168316832
6,"(0, 7)",1.0,0.6638451982330463,0.9874099592563178,0.5,0.9928067778510825,0.9857163015184509,1.0
7,"(0, 8)",0.1,0.7026022426521348,0.9922100400690673,0.543859649122807,0.2593627974089693,0.994704389793818,0.14912280701754385
8,"(0, 9)",0.01,0.0,0.9875521840314335,0.0,0.6613145415723103,0.9762960368041647,0.5
9,"(0, 10)",100.0,0.712325861554618,0.9820963096117834,0.5588235294117647,0.0,0.9535285987700388,0.0
10,"(1, 2)",100.0,0.9851005259588221,0.9868740818229073,0.9833333333333334,0.9941854616898325,0.9925430347222611,0.9958333333333333
11,"(1, 3)",1.0,0.6397651149375552,0.9924473562371833,0.4720238095238095,0.008298504175963933,0.9927630567244614,0.004166666666666667
12,"(1, 4)",0.1,0.6868930873405594,0.9873059862139405,0.5266472868217055,0.41543576506667895,0.99116646081295,0.2627906976744186
13,"(1, 5)",1.0,0.2661105948790987,0.993555947073404,0.1536290322580645,0.40856696224277667,0.9960704842414067,0.256989247311828
14,"(1, 6)",1.0,0.41629438432633725,0.986934551220979,0.2637788778877888,0.6285920208178473,0.9954222473747092,0.45932343234323436
15,"(1, 7)",100.0,0.6660034534477274,0.9866432728102288,0.5026515151515152,0.9921908086266168,0.988574833808289,0.9958333333333333
16,"(1, 8)",0.1,0.7248477438219757,0.9946745212155624,0.5701754385964912,0.9912088846842332,0.9953913670936987,0.9870614035087719
17,"(1, 9)",0.01,0.6589677363245139,0.9820836181375218,0.49583333333333335,0.659911466213014,0.986287785541429,0.49583333333333335
18,"(1, 10)",10.0,0.687282086907813,0.9793126172640539,0.5294117647058824,0.654029346454611,0.9604671389606421,0.49583333333333335
19,"(2, 3)",0.01,0.4881405453481198,0.9937675219134816,0.3235294117647059,0.0,0.9918371307985354,0.0
20,"(2, 4)",0.1,0.7498705822696069,0.9920382261768904,0.602735978112175,0.1262721182724445,0.9889014762499776,0.06744186046511629
21,"(2, 5)",10.0,0.7289606137734789,0.985213985426259,0.578494623655914,0.9919684075800834,0.9947045143110801,0.989247311827957
22,"(2, 6)",100.0,0.6129749901183194,0.9899178950961635,0.4439332168510969,0.00592290391463073,0.9944963214487833,0.0029702970297029703
23,"(2, 7)",0.1,0.178336950875481,0.9854879244493291,0.09803921568627451,0.0,0.9871510386405752,0.0
24,"(2, 8)",0.1,0.7317803304623901,0.9942454191655725,0.5789473684210527,0.9926153261266061,0.9940064705395272,0.9912280701754386
25,"(2, 9)",100.0,0.663845462626541,0.9874111291394319,0.5,0.9955302668522016,0.991100312930702,1.0
26,"(2, 10)",1.0,0.7418258950575612,0.9766395143435437,0.5980392156862745,0.7293617228591633,0.9595790662824064,0.5882352941176471
27,"(3, 4)",1.0,0.5679100064779863,0.992984711184591,0.39767441860465114,0.4390707526328082,0.994484367791618,0.28172757475083055
28,"(3, 5)",0.1,0.1343192778551131,0.9907872598405351,0.07204301075268817,0.4194156225050803,0.9966538320498716,0.26559139784946234
29,"(3, 6)",1.0,0.48565624114379524,0.989661125721747,0.3217821782178218,0.49098118454835027,0.9964456391875748,0.32574257425742575
30,"(3, 7)",10.0,0.0,0.9908424376808116,0.0,0.0,0.9905645904412239,0.0
31,"(3, 8)",0.1,0.5240101310830886,0.9931858065629461,0.3558897243107769,0.017390462746112865,0.9944654411677727,0.008771929824561403
32,"(3, 9)",0.1,0.18168096187968685,0.9917603789373027,0.1,0.0,0.9902212702877531,0.0
33,"(3, 10)",100.0,0.6504263360674921,0.9841718481412376,0.4857142857142857,0.6658447519123841,0.9595412130347162,0.5098039215686274
34,"(4, 5)",0.1,0.8462646036389779,0.9725821340058229,0.7489872468117029,0.9821801048114959,0.9917499331386773,0.9727931982995749
