,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",1.0,0.6429152928864156,0.9766834433595183,0.4791666666666667,0.6599300654000677,0.9702858122056982,0.5
1,"(0, 2)",0.1,0.29936336788600854,0.9860207242994152,0.17647058823529413,0.6629322871789463,0.9833814719757675,0.5
2,"(0, 3)",1.0,0.05552161593458322,0.9784675320053959,0.02857142857142857,0.5833358939573928,0.9854515083916494,0.4142857142857143
3,"(0, 4)",0.1,0.5195944425407615,0.9801917898842145,0.35348837209302325,0.6578296785217163,0.969974575879449,0.49767441860465117
4,"(0, 5)",0.1,0.44333678099380225,0.9726708235281869,0.2870967741935484,0.6570804804449984,0.9742661249571947,0.4956989247311828
5,"(0, 6)",10.0,0.05579743588363111,0.9839083778881227,0.028712871287128714,0.653905849095643,0.9743254244721524,0.49207920792079207
6,"(0, 7)",10.0,0.08690209902811155,0.9858007022972151,0.045454545454545456,0.5303748295590032,0.9795105820048027,0.36363636363636365
7,"(0, 8)",0.01,0.0,0.9818099499193659,0.0,0.0,0.9796394402952602,0.0
8,"(0, 9)",0.1,0.0,0.9681581734192921,0.0,0.6604078788144703,0.9723545359488315,0.5
9,"(0, 10)",0.1,0.486797005080258,0.9827240837929482,0.3235294117647059,0.6594056197709811,0.9680218730085777,0.5
10,"(1, 2)",1.0,0.8552360336850864,0.9838298722881255,0.7563725490196078,0.9919848420499597,0.9840971479707896,1.0
11,"(1, 3)",0.01,0.6844170652038042,0.9934695477402644,0.5220238095238096,0.9402268131115523,0.98421786664788,0.9
12,"(1, 4)",0.01,0.796998511633526,0.9857919755917705,0.6688953488372094,0.9880018674024322,0.9807625632803396,0.9953488372093023
13,"(1, 5)",10.0,0.6776398414943289,0.9799526796533473,0.5178763440860216,0.9860695146594832,0.976624572756279,0.9956989247311828
14,"(1, 6)",1.0,0.6501680313411758,0.9846355146209521,0.4853135313531353,0.9832196897293053,0.9764353065178272,0.9900990099009901
15,"(1, 7)",10.0,0.6920485603133426,0.9865455048344829,0.5329545454545455,0.9687163488106759,0.983314337241899,0.9545454545454546
16,"(1, 8)",10.0,0.6211531013637601,0.9938126524401807,0.4517543859649123,0.8891933392340909,0.9771129158069952,0.8157894736842105
17,"(1, 9)",0.01,0.6497282910595004,0.9737783311165453,0.4875,0.9850771614020384,0.9705931563850186,1.0
18,"(1, 10)",100.0,0.6605642023480026,0.9777075088997128,0.4987745098039216,0.984238801987448,0.9689667255583488,1.0
19,"(2, 3)",10.0,0.3534348519561845,0.995764555825425,0.21484593837535015,0.9529796758825243,0.9950935478644138,0.9142857142857144
20,"(2, 4)",10.0,0.5963527420260629,0.9787288806494038,0.4288189694482444,0.9893988224685095,0.9812593871562757,0.9976744186046511
21,"(2, 5)",0.1,0.46660194717569936,0.9864906368820713,0.3055660974067046,0.9916132937565241,0.9865055608550889,0.9967741935483871
22,"(2, 6)",10.0,0.6358779492863488,0.9798078487875936,0.4706658901184236,0.9851875908576603,0.977429999635551,0.9930693069306931
23,"(2, 7)",10.0,0.5665146029451675,0.9801115619546094,0.39839572192513373,0.9699068901715959,0.9857708337189595,0.9545454545454546
24,"(2, 8)",0.1,0.2890399265048182,0.9891953274740184,0.1692466460268318,0.019414611909316228,0.985034015851126,0.00980392156862745
25,"(2, 9)",0.1,0.5486967458233234,0.971235837289411,0.38235294117647056,0.9852258759149428,0.9708819455790167,1.0
