,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",1.0,0.6254153321861411,0.9404459671384084,0.468482905982906,0.53377633115789,0.925736415703747,0.375
1,"(0, 2)",1.0,0.6167614361698782,0.9538603481930598,0.4557109557109557,0.7983971898195522,0.9414478512291102,0.6930846930846931
2,"(0, 3)",10.0,0.6929249141193943,0.9470286297109765,0.5463342440801457,0.5682735060625943,0.9340652471915879,0.408356102003643
3,"(0, 4)",100.0,0.7081661025680431,0.937456763319633,0.5689964157706093,0.8983611781236949,0.9154006744050973,0.8819444444444444
4,"(0, 5)",10.0,0.6245079954020071,0.935928119866565,0.4685897435897436,0.4003788131394716,0.9063081936140429,0.2569444444444444
5,"(0, 6)",10.0,0.5991192009873741,0.9523464503199305,0.4370255348516218,0.891087958119927,0.9218429490907649,0.8623188405797102
6,"(0, 7)",0.01,0.05395530586404389,0.936577900419809,0.027777777777777776,0.690349807541251,0.9187795848672025,0.5528888888888889
7,"(0, 8)",0.1,0.5959143546754914,0.9504014176069914,0.4340277777777778,0.860364221833015,0.932467893129188,0.7986111111111112
8,"(0, 9)",100.0,0.0,0.9357112113337998,0.0,0.5631677519549141,0.9003641360178984,0.4097222222222222
9,"(0, 10)",0.1,0.6860872834631664,0.9458772504139971,0.53825329566855,0.8357046643442042,0.9288561111518265,0.7595338983050848
10,"(1, 2)",10.0,0.030945187896168146,0.93036359911012,0.015734265734265736,0.31610734110834654,0.9265622390821362,0.19055944055944055
11,"(1, 3)",10.0,0.7544476970108738,0.9376198891131341,0.6311475409836066,0.840252429301575,0.9321966467487223,0.7648171500630517
12,"(1, 4)",0.1,0.0,0.9201257795237129,0.0,0.13892031852571135,0.9000674653664608,0.07526881720430108
13,"(1, 5)",0.1,0.6138555412504962,0.9162301146259237,0.46153846153846156,0.0,0.8945408223148034,0.0
14,"(1, 6)",100.0,0.2740123048412716,0.9287465045020077,0.16071428571428573,0.425178356411196,0.9208690141432724,0.27639751552795033
15,"(1, 7)",0.1,0.6139848208702439,0.9168063745703066,0.46153846153846156,0.0,0.9068563373082846,0.0
16,"(1, 8)",0.01,0.040751610733244896,0.9278032732941346,0.020833333333333332,0.06690093921102971,0.9132866123660871,0.034722222222222224
17,"(1, 9)",1.0,0.6160973580735469,0.9262917119582477,0.46153846153846156,0.0,0.8902864699911807,0.0
18,"(1, 10)",100.0,0.6369839482979164,0.9294647468162951,0.48451760104302477,0.18645949393544997,0.9144636680441306,0.1038135593220339
19,"(2, 3)",10.0,0.40754719378162646,0.9525567360156217,0.2592284764415912,0.5428832204726948,0.9505111278259457,0.37994382666513815
20,"(2, 4)",0.01,0.08694149589980353,0.9367855464393546,0.045586134295811716,0.30670197239921,0.9249253249470293,0.18382961124896607
21,"(2, 5)",100.0,0.606056873076819,0.9383985228418784,0.44755244755244755,0.43984529007458145,0.9255945253931424,0.28846153846153844
22,"(2, 6)",0.01,0.4057390625957855,0.9439511380679989,0.25840463883942144,0.8631445763489787,0.9342093430863151,0.8021272206054815
23,"(2, 7)",100.0,0.0034899248951571968,0.9274414085993463,0.0017482517482517483,0.003489810268575188,0.9115283340792281,0.0017482517482517483
24,"(2, 8)",1.0,0.18004692571723066,0.9426078149051684,0.09952894327894327,0.08931724667423258,0.9299542112842801,0.04691142191142191
25,"(2, 9)",100.0,0.2894431486542739,0.9318925338090076,0.17132867132867133,0.5431285317515818,0.9174252652007202,0.38574851074851074
26,"(2, 10)",1.0,0.5806281569650831,0.9355886808446238,0.4209286476235629,0.7754970080984451,0.9354713346207202,0.6622466516534313
27,"(3, 4)",10.0,0.5964680384332777,0.9280743040844572,0.4394500264410365,0.7157374745251289,0.9144728650838534,0.5879605147188436
28,"(3, 5)",100.0,0.5346876808871643,0.9188411066524144,0.3770491803278688,0.5565605212189388,0.9060403018790394,0.4016393442622951
29,"(3, 6)",10.0,0.6246322283147574,0.9395083633671205,0.4678367783321454,0.4867366047167192,0.9475765567695889,0.32747428978719073
30,"(3, 7)",1.0,0.3136177114644838,0.9321028123963521,0.1885245901639344,0.0,0.9280165650662252,0.0
31,"(3, 8)",100.0,0.2776956611880993,0.9477117317604503,0.16268214936247724,0.7935837555146705,0.9366876491261981,0.6884107468123861
32,"(3, 9)",1.0,0.26694699983235737,0.933644679546915,0.1557377049180328,0.4083370305174358,0.921306735928082,0.26229508196721313
33,"(3, 10)",0.01,0.4800185335571003,0.9431848235857898,0.3219297026951931,0.7913309385997328,0.9408960495578853,0.6827938316198945
34,"(4, 5)",0.01,0.031703530765206545,0.9221210964272424,0.016129032258064516,0.45619887672407894,0.8921442346392412,0.3064516129032258
35,"(4, 6)",100.0,0.489585108712604,0.9235652189534904,0.3330745341614907,0.9255255294654537,0.9098317802953042,0.9417701863354038
36,"(4, 7)",0.1,0.0,0.9189711680010918,0.0,0.0,0.8879481721665977,0.0
37,"(4, 8)",100.0,0.26669448103713017,0.9252287690158005,0.15580197132616486,0.9096514164513897,0.909580621701651,0.9097222222222222
38,"(4, 9)",0.01,0.0,0.9235655128603592,0.0,0.6402545470050475,0.8898716323928502,0.5
39,"(4, 10)",1.0,0.5782728644537768,0.9202039794033536,0.4216101694915254,0.7381967115655264,0.905380171597246,0.6231319482412976
40,"(5, 6)",0.1,0.2628348375972108,0.9334712328361952,0.1529503105590062,0.4672748488052463,0.8964452895596268,0.3159937888198758
41,"(5, 7)",10.0,0.03026750461711992,0.9281037379203235,0.015384615384615385,0.0,0.9124742164011492,0.0
42,"(5, 8)",0.1,0.5715663677765059,0.9267942518015767,0.4131944444444444,0.8092072212251663,0.908654750858141,0.729380341880342
43,"(5, 9)",100.0,0.2852776192204975,0.9077509073034299,0.16923076923076924,0.35342220662560575,0.8978323154715994,0.22001424501424502
44,"(5, 10)",100.0,0.48349079134646455,0.9331419007943124,0.326271186440678,0.5597372768000163,0.9075227922073965,0.4046610169491525
45,"(6, 7)",1.0,0.42242190212393016,0.9122548503097884,0.2748447204968944,0.595485380226556,0.9132550876847131,0.4417701863354037
46,"(6, 8)",0.01,0.236207818553699,0.9412143960341608,0.13505003450655625,0.890371524723196,0.9251998654327696,0.8580702208419599
47,"(6, 9)",100.0,0.47763290734416863,0.9227631381581554,0.3222049689440994,0.6242741577116242,0.8878619060250533,0.4813664596273292
48,"(6, 10)",0.1,0.5880141265453717,0.9318860665408936,0.4295188967259712,0.882216628865474,0.9238414993897689,0.8441809664175176
49,"(7, 8)",0.1,0.8604542368956687,0.9058529057345707,0.8193888888888889,0.7290568042861213,0.9135616576906295,0.6065555555555555
50,"(7, 9)",100.0,0.0,0.9079676810089042,0.0,0.3945303448009636,0.9082119305946075,0.252
51,"(7, 10)",0.1,0.07324325319077042,0.9224691164849159,0.038135593220338986,0.7423607397794904,0.9121802620060322,0.6258474576271187
52,"(8, 9)",0.1,0.3717926855320588,0.9252110168737091,0.2326388888888889,0.5792115576249706,0.8846511138219262,0.4305555555555556
53,"(8, 10)",1.0,0.545624069483067,0.9358445109413669,0.3850635593220339,0.869360199418269,0.9231366636291006,0.8215042372881356
54,"(9, 10)",0.1,0.39636251932049826,0.9263554585379246,0.2521186440677966,0.5713116115874458,0.9051596858743449,0.4173728813559322
