,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.7047495094269918,0.9243936667656529,0.5694444444444444,0.8974836106102481,0.9062461608694365,0.8888888888888888
1,"(0, 2)",1.0,0.4349464720788491,0.9470934432084905,0.2822940947940948,0.7558718379950489,0.9291955605594457,0.6370435120435121
2,"(0, 3)",0.1,0.7171510480532747,0.9400671003703732,0.5796903460837887,0.553057821178064,0.9305859655470263,0.39344262295081966
3,"(0, 4)",0.01,0.6602504898786038,0.9305030307233348,0.5116487455197133,0.8267382373352264,0.902106072072753,0.7629928315412187
4,"(0, 5)",0.1,0.7806679609808819,0.9310389883267783,0.6721153846153847,0.5748551521537038,0.8874788152492924,0.4251068376068376
5,"(0, 6)",0.1,0.7903360961562824,0.9405327506489244,0.6815044858523119,0.8734972700012449,0.921153292639747,0.8305296756383713
6,"(0, 7)",100.0,0.7351618905674047,0.9346927901711243,0.6058333333333333,0.7233756267208556,0.9085836583913688,0.6008888888888889
7,"(0, 8)",10.0,0.6701804150030107,0.939610276066871,0.5208333333333333,0.5983174477997901,0.9151582987374733,0.4444444444444444
8,"(0, 9)",1.0,0.6734446117183864,0.9301725228278445,0.5277777777777778,0.5556676169681687,0.9073058574825645,0.40046296296296297
9,"(0, 10)",1.0,0.5368061840681211,0.9383045817941791,0.3759416195856874,0.869105166808389,0.9144599765169296,0.8280367231638418
10,"(1, 2)",100.0,0.0,0.9203603875205596,0.0,0.18239547141948517,0.9065233416205989,0.10139860139860139
11,"(1, 3)",0.01,0.7031732827499965,0.907941957727089,0.5737704918032787,0.11793094272376539,0.909853926745103,0.06305170239596469
12,"(1, 4)",1.0,0.6335072328956948,0.8861285820533089,0.49296939619520264,0.010687877706757982,0.88661156571147,0.005376344086021506
13,"(1, 5)",10.0,0.6094223350997502,0.8967566799615437,0.46153846153846156,0.03024710377690658,0.891239229052016,0.015384615384615385
14,"(1, 6)",1.0,0.8815173554765573,0.9113006605367213,0.8536192068800765,0.8937768431135232,0.9100176193429024,0.8781055900621118
15,"(1, 7)",100.0,0.6434497989987122,0.902327073707621,0.5,0.0,0.8884768880871133,0.0
16,"(1, 8)",10.0,0.027361900947266923,0.9137955619661597,0.013888888888888888,0.755547942657815,0.9007875457356298,0.6506410256410257
17,"(1, 9)",10.0,0.07375781491031343,0.8962414560225596,0.038461538461538464,0.0,0.8927961247801777,0.0
18,"(1, 10)",1.0,0.6122533966338753,0.9010185483095238,0.46365710560625817,0.14763763169015082,0.888392143383879,0.08050847457627118
19,"(2, 3)",0.1,0.5384923733590956,0.936388170747414,0.37790897626963205,0.5979349915514087,0.9298460460005007,0.44064542015361685
20,"(2, 4)",0.1,0.11047073792317083,0.9245375651933164,0.05874501842243778,0.842344183954971,0.9136852584918371,0.7813369426272652
21,"(2, 5)",1.0,0.08796935956268323,0.935872033370265,0.046153846153846156,0.6425547374668767,0.9115176868303086,0.49615384615384617
22,"(2, 6)",0.1,0.4767928181320497,0.9408703175453275,0.31930026495243885,0.8087819438931331,0.9320282072706583,0.7143237197585024
23,"(2, 7)",0.01,0.5699065352094599,0.930829954134267,0.4106713286713287,0.5050008970326741,0.923649124261479,0.34749650349650346
24,"(2, 8)",1.0,0.07999698114462908,0.933994312880198,0.04178807303807304,0.6387262203624847,0.9237170658351006,0.4881264568764569
25,"(2, 9)",1.0,0.18030719099326203,0.9260431008881942,0.09987697487697487,0.42438156683921585,0.9153428085939809,0.2762237762237762
26,"(2, 10)",0.1,0.1827748109535833,0.925619194067118,0.10139860139860139,0.6633550776217432,0.9291812642296244,0.515793528505393
27,"(3, 4)",10.0,0.5298276359728052,0.9147649593629288,0.37290675127798345,0.5519127629421711,0.8957701687518276,0.39881896703684117
28,"(3, 5)",10.0,0.8093366159434427,0.9145224894048583,0.7258511979823455,0.8341435625588419,0.9129749459498853,0.767843631778058
29,"(3, 6)",0.1,0.6415433060412633,0.9290821851594282,0.48991956012626003,0.5740509046724124,0.9309496095178922,0.4149653803075043
30,"(3, 7)",100.0,0.33542190520786663,0.9236682458130454,0.20491803278688525,0.03220586163648079,0.9086807081498749,0.01639344262295082
31,"(3, 8)",100.0,0.636388532442312,0.9111074461452693,0.4889571948998178,0.8745443829593375,0.93046305679704,0.8249658469945356
32,"(3, 9)",1.0,0.3793666363786895,0.923840667380041,0.23869156041287187,0.21298234194201918,0.9235678025884719,0.12037037037037036
33,"(3, 10)",0.1,0.15953963135580337,0.9230158540603453,0.08731592108919145,0.05346954832376062,0.911763603765318,0.02754237288135593
34,"(4, 5)",10.0,0.8641443334959424,0.9094240941961323,0.8231596360628619,0.7784573921055532,0.8809097650227244,0.6973531844499586
35,"(4, 6)",100.0,0.37592822554146993,0.9140058457048517,0.23662592666800242,0.14831235218523456,0.9087289962891982,0.08074534161490683
36,"(4, 7)",1.0,0.33868783948767606,0.9054696139265054,0.20830107526881722,0.851615950329344,0.8942523168529992,0.8128602150537634
37,"(4, 8)",10.0,0.9137869973030672,0.8967799168602064,0.9314516129032258,0.6352691044201092,0.9184789891948214,0.48555107526881724
38,"(4, 9)",1.0,0.6021117012858225,0.8959696714766058,0.45340501792114696,0.6390284382694229,0.8828201320619706,0.5007467144563919
39,"(4, 10)",0.01,0.6296588125873563,0.9005481348387424,0.48405321669400403,0.8919659043084,0.8997477870735574,0.8843174776745034
40,"(5, 6)",1.0,0.362909356899247,0.9090420681285656,0.2267080745341615,0.5621312232586305,0.9174154004980544,0.4052078356426182
41,"(5, 7)",1.0,0.34825914343379183,0.9090968642139029,0.2153846153846154,0.5024817877065262,0.9056842475766488,0.34769230769230774
42,"(5, 8)",10.0,0.750614585866673,0.9040190067656204,0.6417200854700855,0.8219572001697012,0.9100523131197783,0.7494123931623932
43,"(5, 9)",0.01,0.3832212764688555,0.904785828675823,0.2430911680911681,0.0,0.899120211760073,0.0
44,"(5, 10)",10.0,0.6407173836963055,0.9091834816262067,0.49465449804432854,0.9063738400463395,0.8994900994083022,0.9133637548891786
45,"(6, 7)",1.0,0.31154862530599575,0.9113862745112242,0.18788819875776397,0.021481083718397045,0.9048363168027654,0.010869565217391304
46,"(6, 8)",10.0,0.6160866718030842,0.9158768262609832,0.464156314699793,0.8826975423503709,0.9260381763760093,0.8432324016563146
47,"(6, 9)",1.0,0.19317046503550173,0.9217499461823498,0.10789049919484703,0.055652082198106786,0.9158617564677193,0.02869795261099609
48,"(6, 10)",0.01,0.5081508165953958,0.9314307092356624,0.34937888198757766,0.03204058228652656,0.9195361872090823,0.016304347826086956
49,"(7, 8)",1.0,0.6088966275424792,0.9199955689675163,0.4550277777777778,0.8571314809807629,0.9144745840670273,0.8065555555555556
50,"(7, 9)",0.01,0.5952247294071067,0.909326122097841,0.44240740740740736,0.5030520357348879,0.9030500602397863,0.3486296296296296
51,"(7, 10)",1.0,0.3809225745067535,0.9118668823492333,0.2407457627118644,0.6804298645949356,0.8853020914253309,0.5525593220338982
52,"(8, 9)",0.01,0.3944586943315031,0.9033940952123272,0.25231481481481477,0.9228423841002633,0.9130276986762661,0.9328703703703703
53,"(8, 10)",10.0,0.7224149704084675,0.906670811074521,0.6004001883239172,0.1393816814463803,0.904872198164797,0.07550612052730697
54,"(9, 10)",0.01,0.009211927078780949,0.9010320276593967,0.004629629629629629,0.5557843572659796,0.8870644639606503,0.4046610169491525
