,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.5550291965738067,0.9465436937657289,0.3926282051282052,0.5469459374394323,0.9214551925823685,0.3888888888888889
1,"(0, 2)",0.01,0.6704439703794267,0.9658930662437659,0.5134032634032634,0.8402390993939284,0.9625900250214323,0.745483682983683
2,"(0, 3)",100.0,0.636674667960349,0.9565698630479138,0.4771174863387978,0.8367545417756931,0.9449392535262456,0.7507969034608379
3,"(0, 4)",10.0,0.795617742093616,0.9369987726744697,0.6913082437275986,0.9002969770593585,0.9332132262806826,0.8696236559139785
4,"(0, 5)",10.0,0.6277636053855004,0.9467726331087687,0.46955128205128205,0.8666738889098141,0.9345192180648844,0.8080128205128205
5,"(0, 6)",0.1,0.5821496829156471,0.9518345825860952,0.4192977915804003,0.9016187680142039,0.9371276958442913,0.8687025534851622
6,"(0, 7)",100.0,0.5004650034242637,0.9456193964945163,0.3402777777777778,0.6461411270547877,0.9309343010737293,0.49477777777777776
7,"(0, 8)",0.1,0.2630983576265444,0.9467318705858507,0.1527777777777778,0.8966386577697292,0.9393543056883169,0.8576388888888888
8,"(0, 9)",10.0,0.5715256007280567,0.9445298133734047,0.4097222222222222,0.9031232406047806,0.9331143247968127,0.875
9,"(0, 10)",0.1,0.7341581190871076,0.9440144757107333,0.600635593220339,0.8860909336885264,0.9450716998237902,0.8340395480225988
10,"(1, 2)",0.1,0.4636976513201554,0.9405963214186998,0.3076923076923077,0.5083225618671364,0.9306571101827603,0.34965034965034963
11,"(1, 3)",100.0,0.38592352088227533,0.9314754006875359,0.24337957124842372,0.5734035735579563,0.9125853517845552,0.4180327868852459
12,"(1, 4)",1.0,0.651092729765578,0.9042364626774239,0.5086848635235732,0.6253266795764016,0.9021682978846215,0.478494623655914
13,"(1, 5)",0.1,0.3976243820088141,0.9170284569424586,0.25384615384615383,0.12861166948684838,0.9039597210386352,0.06923076923076923
14,"(1, 6)",100.0,0.5370529558451962,0.9237009601524581,0.3785833731485906,0.6252077873890975,0.9080865550930454,0.4767080745341615
15,"(1, 7)",10.0,0.2050484583377936,0.9198571918313342,0.11538461538461539,0.26339464385882977,0.9147717824056838,0.15384615384615385
16,"(1, 8)",1.0,0.6560950383455308,0.9164193743097587,0.5109508547008548,0.6281652763434019,0.9116444041417139,0.4791666666666667
17,"(1, 9)",0.1,0.32098052471823574,0.9190750000910141,0.19444444444444445,0.6451983467618423,0.9092380783366278,0.5
18,"(1, 10)",1.0,0.5584158640418726,0.9382843630965628,0.39749022164276404,0.5895733208588834,0.9175618966066253,0.4343220338983051
19,"(2, 3)",0.01,0.6504826336812977,0.946645595603401,0.4954717413733807,0.8598801517605255,0.9511082456784116,0.7846211165883297
20,"(2, 4)",100.0,0.6498394685613751,0.936053070853726,0.49766899766899764,0.7668097233715648,0.9354384713962133,0.6496917061433191
21,"(2, 5)",1.0,0.3323522336415091,0.9275052818903347,0.20244755244755244,0.47151106956464994,0.915832913686576,0.3174825174825175
22,"(2, 6)",10.0,0.47682125611029774,0.9465100243137345,0.31868131868131866,0.8908720224673925,0.9451643995777163,0.8424781739999131
23,"(2, 7)",10.0,0.2644336102661399,0.9404373295458779,0.15384615384615385,0.8976773744146557,0.9365676491582816,0.8618881118881119
24,"(2, 8)",0.01,0.7126670405405404,0.9391934771946815,0.5741792929292929,0.8820279932657487,0.9447796001381392,0.8270930458430459
25,"(2, 9)",10.0,0.595448114000278,0.9338682120032029,0.4370629370629371,0.8942096727560941,0.9394251541210795,0.8531468531468531
26,"(2, 10)",1.0,0.417679895046354,0.9462338519658738,0.2679862510370985,0.7561780568064438,0.9565273335620326,0.6252222353917269
27,"(3, 4)",10.0,0.7856495263433287,0.9178054449803406,0.6867618543980257,0.914678949046587,0.916710439214615,0.9126564427992244
28,"(3, 5)",10.0,0.6260216949643715,0.9331682139768961,0.4709962168978562,0.917866200088631,0.9171961793019628,0.9185372005044137
29,"(3, 6)",0.1,0.5983749914462143,0.9337262105760374,0.440255574788718,0.9132117479713521,0.9266309709130012,0.900175644028103
30,"(3, 7)",1.0,0.3578655567529677,0.9344288511398915,0.22131147540983606,0.9012835181438662,0.9213933091188421,0.882032786885246
31,"(3, 8)",100.0,0.5875064951742054,0.932228734662939,0.42890482695810567,0.8732293366326122,0.925056776722865,0.8269011839708561
32,"(3, 9)",100.0,0.2520195653179848,0.9316262774003601,0.14571948998178508,0.8704278712450493,0.9175997702023605,0.8278688524590163
33,"(3, 10)",10.0,0.6477879227908677,0.9444435292254367,0.49294943039733263,0.8856223949950334,0.9399314516626345,0.8372464573492637
34,"(4, 5)",1.0,0.6584331929197199,0.9158287089232723,0.513978494623656,0.9355598579079999,0.9088791259747444,0.9638544251447477
35,"(4, 6)",1.0,0.538692954873767,0.9180693207704415,0.38117778668269553,0.9415843935227595,0.9156229820282797,0.9690609764242303
36,"(4, 7)",1.0,0.5216584498709086,0.9102228246298056,0.3655913978494624,0.9228754291936436,0.9052070049175559,0.941247311827957
37,"(4, 8)",100.0,0.7266511453619113,0.9134743634770575,0.6032706093189963,0.9417985572449025,0.9135178796831873,0.9718862007168458
38,"(4, 9)",0.01,0.7146677044149838,0.9153182871189424,0.5861708482676224,0.9499784746013227,0.9091690519355995,0.9946236559139785
39,"(4, 10)",10.0,0.7240211452478368,0.932359426961114,0.5917851284855111,0.9137611630271549,0.9232123239299528,0.9045015491160926
40,"(5, 6)",1.0,0.5049311656817841,0.9229642519641206,0.3475274725274725,0.9333774509386112,0.9174937202781123,0.9498208313425704
41,"(5, 7)",1.0,0.11537344207762648,0.921648814153268,0.06153846153846154,0.08114268276655007,0.9113978602510817,0.04246153846153847
42,"(5, 8)",0.01,0.644649817392055,0.9220279148664344,0.49556623931623933,0.8808769129246808,0.9127878697164115,0.8511217948717948
43,"(5, 9)",10.0,0.4933151103613508,0.915601255501799,0.33760683760683763,0.9386641545941651,0.9099665545107469,0.9692307692307692
44,"(5, 10)",0.01,0.3632201638227381,0.933834691796927,0.22545632333767926,0.9079794925427895,0.9243515383427591,0.8921773142112126
45,"(6, 7)",0.1,0.4874078638279189,0.9260413002352968,0.3307453416149068,0.9417358151667772,0.9156366746798577,0.9693664596273293
46,"(6, 8)",100.0,0.6460922488663696,0.9212548502547188,0.4974982746721877,0.9458233735406316,0.9188555703027854,0.9744220151828848
47,"(6, 9)",1.0,0.4347398680396093,0.9211540484008061,0.28450655624568666,0.9491904218086016,0.9183774171317545,0.9821428571428572
48,"(6, 10)",1.0,0.47754613472125074,0.940829384937617,0.3199810506369092,0.9158843341335398,0.9314204666953655,0.9008579850510581
49,"(7, 8)",100.0,0.5852380795210111,0.9133821635556996,0.4305555555555556,0.9469770658620604,0.9138130622057089,0.9826388888888888
50,"(7, 9)",100.0,0.3638788651019028,0.9189729220004613,0.22685185185185186,0.7950828456666409,0.9065922092881347,0.708
51,"(7, 10)",100.0,0.44054573343025893,0.9377563608066217,0.2878983050847458,0.9294093045678202,0.9263975773463891,0.9324406779661016
52,"(8, 9)",1.0,0.6630297544689271,0.9156002370476615,0.5196759259259259,0.9471491834146464,0.9141336628353608,0.9826388888888888
53,"(8, 10)",0.1,0.6707742548189886,0.9400297787467063,0.521421845574388,0.8505196836969386,0.9176395238408896,0.7925494350282486
54,"(9, 10)",100.0,0.5980386126369533,0.9284590480114472,0.44107030759573135,0.9224261302345658,0.927535358012086,0.9173728813559322
