,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",0.01,0.6466358868229999,0.9339610180030908,0.4945054945054945,0.6438336609293819,0.942108742845152,0.489010989010989
1,"(0, 2)",1.0,0.6324760075253318,0.9425597329971546,0.47591069330199764,0.8428632833539608,0.9733217156896941,0.7432432432432432
2,"(0, 3)",0.01,0.0,0.9440429121178835,0.0,0.652446251966944,0.9386264076554995,0.5
3,"(0, 4)",10.0,0.6765490580877668,0.9271038584253252,0.532608695652174,0.651889790735012,0.9363267341561665,0.5
4,"(0, 5)",1.0,0.28357237617432884,0.9497820257898558,0.16666666666666666,0.4698094796617461,0.9460337015063556,0.3125
5,"(0, 6)",0.1,0.47232075707496357,0.9324384652087824,0.31626016260162604,0.5195133565874888,0.9660796466920788,0.35528455284552846
6,"(0, 7)",10.0,0.1885805727364631,0.9619077273162073,0.1045374963524949,0.6520157430293022,0.9488592530107547,0.4966442953020134
7,"(0, 8)",100.0,0.6076087166476767,0.9690025880438505,0.4425556117290192,0.39917982342940633,0.9676845057578406,0.251453488372093
8,"(0, 9)",10.0,0.6487474427316045,0.9405942729569206,0.4951215337213283,0.6481492817001265,0.9483928017282229,0.49229715850736044
9,"(0, 10)",100.0,0.6364010748255186,0.9480828273133604,0.4789473684210526,0.6192226085660725,0.9447976835767479,0.4605263157894737
10,"(1, 2)",0.1,0.7001068142849773,0.9704451765802727,0.5475695475695476,0.8187763689602584,0.9759080612992954,0.7052272052272053
11,"(1, 3)",1.0,0.1424040572845708,0.9573558651338429,0.07692307692307693,0.02172825504665444,0.9559793691357762,0.01098901098901099
12,"(1, 4)",100.0,0.053427927369980546,0.9674863383852299,0.027472527472527472,0.03241168918670031,0.9620322256018734,0.016483516483516484
13,"(1, 5)",10.0,0.7897947230047032,0.9805476983532108,0.6611721611721612,0.8405576978130983,0.9744567576054828,0.739010989010989
14,"(1, 6)",0.1,0.025288561596723103,0.9682920717331258,0.012811578665237203,0.41510353885849904,0.9676236453291006,0.26422764227642276
15,"(1, 7)",10.0,0.5817389964422218,0.9700239323052665,0.41544361678589864,0.9735859331833348,0.9650255190842619,0.9822995796150158
16,"(1, 8)",10.0,0.04973576676408928,0.9675522511746377,0.025523894709941222,0.25052352230496694,0.9673169290836436,0.1438953488372093
17,"(1, 9)",0.01,0.2214169620758371,0.958679473869688,0.1251622393354677,0.9573876561418744,0.9718765817511813,0.9433243921432898
18,"(1, 10)",0.1,0.3976339668205574,0.9711081754128461,0.25,0.9305271919670103,0.9683854530116933,0.8955176402544823
19,"(2, 3)",100.0,0.6035365452486783,0.9754753838530049,0.4369369369369369,0.4372487180167496,0.952157696918704,0.28378378378378377
20,"(2, 4)",100.0,0.9437426614163829,0.9662847467553911,0.9222283507997794,0.8689285993049988,0.9748270227395275,0.7837837837837838
21,"(2, 5)",1.0,0.6513918948113443,0.9808345029144809,0.48761261261261263,0.46743077527974414,0.9746957480621364,0.30743243243243246
22,"(2, 6)",10.0,0.12428235218211006,0.9776576666357428,0.06635904196879808,0.0,0.9812917605125061,0.0
23,"(2, 7)",1.0,0.6165206009694364,0.9611432910341979,0.45380615514843703,0.9416455179464308,0.9782251246645285,0.9077030050184413
24,"(2, 8)",10.0,0.7989442713283293,0.9511262015831586,0.6887439765346742,0.8174146453309222,0.9828693092276448,0.6996385920804525
25,"(2, 9)",100.0,0.7162412383339863,0.9758893154150778,0.5657232035184792,0.0,0.9853982173658403,0.0
26,"(2, 10)",100.0,0.9419058624751797,0.9673596659117,0.9177572309151256,0.923650477766056,0.9804547996953339,0.8730678046467519
27,"(3, 4)",100.0,0.0,0.9548588750932989,0.0,0.0,0.9590078937772013,0.0
28,"(3, 5)",100.0,0.7933081363024713,0.9793470633891361,0.6666666666666666,0.8602039972691811,0.9730157561644813,0.7708333333333333
29,"(3, 6)",100.0,0.10167522347625041,0.9670133013402147,0.05365853658536585,0.40598960429841285,0.9672775347467696,0.25691056910569104
30,"(3, 7)",100.0,0.0,0.959962797504832,0.0,0.6446311946649759,0.9421045532802607,0.4899328859060403
31,"(3, 8)",100.0,0.7704801562250928,0.9558087829094304,0.6453488372093024,0.03705870978926934,0.9566240960154128,0.0188953488372093
32,"(3, 9)",1.0,0.6034466808457161,0.9746529927501837,0.43700787401574803,0.6055279793322433,0.9477639043535616,0.4448818897637795
33,"(3, 10)",100.0,0.10455375809687086,0.967419845831153,0.05526315789473684,0.07094138482488746,0.9528968486301017,0.03684210526315789
34,"(4, 5)",0.1,0.7602668142561356,0.9702564023476289,0.625,0.8588558760830891,0.9695727527214779,0.7708333333333333
35,"(4, 6)",100.0,0.25788016503358396,0.9718383108597207,0.148664343786295,0.05218638339669031,0.9510711875265309,0.026829268292682926
36,"(4, 7)",100.0,0.6507626799193438,0.9693206877919154,0.4897959183673469,0.9775550162887273,0.9623121058445329,0.9932885906040269
37,"(4, 8)",100.0,0.7491895024020109,0.9576248765600945,0.6152705268153773,0.9599536393871526,0.9665071826292979,0.9534883720930232
38,"(4, 9)",1.0,0.6661986718661198,0.9711729327917185,0.5069901976538647,0.960242828566427,0.9719452039128268,0.9488188976377953
39,"(4, 10)",10.0,0.6603559698898919,0.9647048257355892,0.5019871106337271,0.9534994763299821,0.9679504092839666,0.9394736842105262
40,"(5, 6)",100.0,0.8287167462580101,0.9853692851677638,0.7150406504065041,0.7967124643584297,0.9772905004683968,0.6724593495934958
41,"(5, 7)",1.0,0.22188126810399475,0.9863587951112258,0.125,0.8557778903337449,0.9724189614238293,0.7641219239373602
42,"(5, 8)",10.0,0.776607710175967,0.9760010731147047,0.6448643410852714,0.8340350352570213,0.9776150392095952,0.7272286821705426
43,"(5, 9)",0.01,0.7019843596549519,0.981898027736509,0.546259842519685,0.9420042731260623,0.9829144172382213,0.9043635170603674
44,"(5, 10)",1.0,0.784714879780105,0.9818407844116539,0.6535087719298246,0.8352076535104692,0.9734276352336335,0.7313596491228069
45,"(6, 7)",0.01,0.6426200813853674,0.97322366605699,0.4796747967479675,0.9320677812009343,0.9694548472024918,0.8974573034320947
46,"(6, 8)",10.0,0.3042004660644523,0.955282387964327,0.18090376252599735,0.08832846231088125,0.9722551981334109,0.04626583475137077
47,"(6, 9)",100.0,0.033066719175476995,0.9799033210861615,0.016817105178925804,0.41374779989179455,0.9655117491976496,0.2632866013699507
48,"(6, 10)",100.0,0.7102011531224962,0.971047238604754,0.5598202824133505,0.9137632481373066,0.9753131508619257,0.8595207531022678
49,"(7, 8)",100.0,0.6394637996535912,0.970817813089647,0.47674418604651164,0.9608786357564665,0.9703543923326505,0.9515861557671297
50,"(7, 9)",1.0,0.10326637771475167,0.9697932241527831,0.0545368070601913,0.9559419654933092,0.9743997305587043,0.9381704803678064
51,"(7, 10)",100.0,0.6541767458886866,0.9754268768206688,0.4921052631578947,0.721946306773783,0.9680045551328905,0.5756269869304134
52,"(8, 9)",0.1,0.7870542245703437,0.9645627690112176,0.6647248672404321,0.910678309970307,0.9807101642943498,0.8499816883354696
53,"(8, 10)",0.1,0.6844964314065582,0.9663175138444521,0.5299418604651163,0.9380036161146005,0.975992695772084,0.9028610771113831
54,"(9, 10)",100.0,0.8004283695396135,0.952440025246513,0.6902610857853295,0.9409741860419664,0.9748826924334006,0.9093452134272689
