,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.6906060849482277,0.9469634927931457,0.5434782608695652,0.655024842035318,0.9493797262097033,0.5
1,"(0, 2)",0.01,0.684963719131707,0.9645320920676279,0.5310419114766941,0.947277617519121,0.9578490991091212,0.9369369369369369
2,"(0, 3)",0.1,0.9399304623845649,0.968449009149962,0.9130434782608696,0.9810730170890981,0.9628491869813267,1.0
3,"(0, 4)",100.0,0.7801826344755672,0.9448875119110353,0.664374445430346,0.9689164409022438,0.9495120924451695,0.9891304347826086
4,"(0, 5)",0.1,0.34112115440219365,0.9795141519585978,0.20652173913043478,0.955987510406727,0.9439869648414222,0.9682971014492754
5,"(0, 6)",1.0,0.8607577938210902,0.9528637978246682,0.7848886532343584,0.6749226668803496,0.95830033911981,0.5208907741251325
6,"(0, 7)",100.0,0.6074077058691705,0.9650456568597904,0.4431718704406186,0.9666177498562496,0.9513167252387288,0.9824190253866356
7,"(0, 8)",10.0,0.6140459465525183,0.9811498977867552,0.44685288169868553,0.8661061795419225,0.9794262228923487,0.7762891809908998
8,"(0, 9)",0.01,0.6200925739376789,0.9565038272628184,0.4587470044505306,0.6130995186322941,0.9492912403139864,0.452755905511811
9,"(0, 10)",1.0,0.6874258935178107,0.9634986487528452,0.534324942791762,0.6371993577212306,0.951635026288108,0.4789473684210526
10,"(1, 2)",1.0,0.9475763096826418,0.9780786550342297,0.9189189189189189,0.9372853534402633,0.971492265338921,0.9054054054054055
11,"(1, 3)",1.0,0.982506266916025,0.96561407207698,1.0,0.9834964452383022,0.967528781017265,1.0
12,"(1, 4)",1.0,0.08410588366857827,0.9712988801906837,0.04395604395604396,0.010926923232226078,0.9669867755972107,0.005494505494505495
13,"(1, 5)",0.01,0.6971107793013768,0.9776789785568448,0.5416666666666666,0.9482137478616544,0.9591751998578454,0.9375
14,"(1, 6)",100.0,0.8480166021708048,0.9640558064943243,0.756910569105691,0.8202218963698803,0.9714115071006518,0.7097560975609756
15,"(1, 7)",1.0,0.6607609316834954,0.9738868447000572,0.5,0.9814395670202457,0.9698699068945764,0.9932885906040269
16,"(1, 8)",1.0,0.9576955026093859,0.9740720984764388,0.9418604651162791,0.9224589709088651,0.9789990577823602,0.872093023255814
17,"(1, 9)",10.0,0.8406268577076959,0.9593846493677146,0.7480314960629921,0.9619863487518876,0.9713973935460614,0.952755905511811
18,"(1, 10)",0.1,0.2818366703694713,0.9793212500489378,0.16460381723539616,0.0,0.9720264751170128,0.0
19,"(2, 3)",10.0,0.9366255773149288,0.9761819254594352,0.9001501501501501,0.9591321524151318,0.9775004514965927,0.9414414414414414
20,"(2, 4)",10.0,0.06952068944287944,0.9819186041908758,0.036036036036036036,0.1341089321561266,0.9631593867081212,0.07207207207207207
21,"(2, 5)",0.01,0.8915213291719775,0.9729987388514372,0.8226351351351351,0.6462087513041854,0.9620754174165503,0.4864864864864865
22,"(2, 6)",0.1,0.9319825462632918,0.9802780438331808,0.8882223687101736,0.7632999917427354,0.981321799787595,0.6245440562513733
23,"(2, 7)",0.01,0.5694263986858071,0.9736080853943272,0.4023822480198319,0.858280628567568,0.9798316895713091,0.7635588608742971
24,"(2, 8)",0.1,0.8919408957652935,0.9905256572088516,0.8112036455059711,0.8715918511954298,0.9890090677923702,0.7790959564215378
25,"(2, 9)",1.0,0.5620777794291404,0.9794612922956932,0.39412640987444136,0.0,0.9804810229276119,0.0
26,"(2, 10)",0.1,0.64782215935139,0.9847792065134767,0.4826695116168801,0.08614525498206155,0.9836702383799084,0.04504504504504504
27,"(3, 4)",100.0,0.0,0.9687475497749176,0.0,0.0,0.9663024412344873,0.0
28,"(3, 5)",0.1,0.762647321231926,0.9780485396629752,0.625,0.9805872524602329,0.9619138615117038,1.0
29,"(3, 6)",1.0,0.3952923256947149,0.973937566791367,0.24796747967479674,0.41271446450546906,0.9745737726907309,0.26178861788617885
30,"(3, 7)",100.0,0.6364826537452347,0.9759692995519497,0.4722222222222222,0.38251210438090055,0.9695469094785558,0.23825503355704697
31,"(3, 8)",1.0,0.3062128441175735,0.973326313832521,0.1816860465116279,0.49166612220527284,0.9769886663137923,0.32848837209302323
32,"(3, 9)",1.0,0.7878996578296199,0.9741940501005172,0.6614173228346456,0.9538927836998901,0.9713973935460614,0.937007874015748
33,"(3, 10)",100.0,0.6036573533328186,0.9765804476942412,0.4368421052631579,0.9749671384867248,0.9710191433382688,0.9789473684210526
34,"(4, 5)",0.01,0.6314206201909346,0.9752442080583033,0.46683673469387754,0.9794503778441525,0.9597283234254933,1.0
35,"(4, 6)",0.01,0.942754847495568,0.9709205579604046,0.9161772025883523,0.8264039713391312,0.9691217963085218,0.7203252032520325
36,"(4, 7)",1.0,0.2174783762070527,0.971203875440017,0.12244897959183673,0.9828160290237878,0.9693662410052044,0.9966442953020134
37,"(4, 8)",0.01,0.9448503443332471,0.9776445243354005,0.9141848599905078,0.9207502639771273,0.9788183893090088,0.8691860465116279
