,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",0.01,0.6633484339855956,0.9602371729440571,0.5066889632107023,0.646681821519695,0.9341526936831739,0.4945054945054945
1,"(0, 2)",100.0,0.42719027013775274,0.9714452827604804,0.27379553466509987,0.8628250754896701,0.9734546077561921,0.7747747747747749
2,"(0, 3)",100.0,0.9355668157904599,0.9592294891088066,0.9130434782608696,0.9763811329842499,0.9538522241493881,1.0
3,"(0, 4)",0.01,0.6172583798265681,0.9526912293516018,0.45652173913043476,0.6505370956317483,0.9307670249117989,0.5
4,"(0, 5)",100.0,0.897543424230846,0.9787158028864589,0.8288043478260869,0.9757312070819265,0.9526124527353151,1.0
5,"(0, 6)",100.0,0.39397103031204733,0.9610171240740394,0.2477730646871686,0.5053979322854047,0.9655654606603198,0.34227642276422765
6,"(0, 7)",100.0,0.6448238069694392,0.9489300528969965,0.4883279836591771,0.9778559757774157,0.9566714206651523,1.0
7,"(0, 8)",100.0,0.34470644323500665,0.9763140708700758,0.20930232558139536,0.6177862727085569,0.9710847192992608,0.4529828109201213
8,"(0, 9)",100.0,0.5442673668623929,0.9630358304991693,0.3793221499486477,0.9687699053244909,0.9612795066923634,0.9763779527559056
9,"(0, 10)",0.1,0.7911239419877623,0.9542464797992903,0.6756292906178489,0.9719273686540291,0.9624637441424765,0.9815789473684211
10,"(1, 2)",100.0,0.6353328821269124,0.9794492297179157,0.47015147015147013,0.9457725563126692,0.9742429315309027,0.9189189189189189
11,"(1, 3)",10.0,0.6090567732137695,0.9673367853187685,0.4444444444444444,0.0,0.9580841915265624,0.0
12,"(1, 4)",0.01,0.7569074782717237,0.9673565369586493,0.6216640502354788,0.9776095658747834,0.9612781458511671,0.9945054945054945
13,"(1, 5)",100.0,0.7071807976549962,0.9845592003188846,0.5517399267399268,0.9803559852056372,0.9614688763738302,1.0
14,"(1, 6)",0.01,0.4986484447911421,0.975603418372696,0.33491467881711784,0.9317859411469199,0.9687244463774449,0.8975609756097561
15,"(1, 7)",0.01,0.7761760348976187,0.9697462321646628,0.6470241168227745,0.9775257416138806,0.9611160652686171,0.9945054945054945
16,"(1, 8)",0.01,0.5162398340708669,0.9676925678689332,0.35201571684129823,0.9018809465260149,0.9734480582479654,0.8401162790697674
