,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.5952166289766084,0.848678144742729,0.4583333333333333,0.008292062125146594,0.8371516214996366,0.004166666666666667
1,"(0, 2)",0.1,0.6195690196754864,0.8417151575423361,0.49019607843137253,0.6183686552245874,0.837298927954529,0.49019607843137253
2,"(0, 3)",100.0,0.47848323346316973,0.8475475680259094,0.3333333333333333,0.4782592560157596,0.8461437448478927,0.3333333333333333
3,"(0, 4)",10.0,0.5108672026748039,0.8502980415674359,0.36511627906976746,0.4611252465825204,0.8507367607447899,0.31627906976744186
4,"(0, 5)",1.0,0.6116788303062576,0.8509949154558751,0.4774193548387097,0.5823018625136982,0.84543095053808,0.44408602150537635
5,"(0, 6)",100.0,0.5650871071815039,0.8478425567931303,0.42376237623762375,0.616816853027456,0.8234918449936021,0.49306930693069306
6,"(0, 7)",0.01,0.5555535681537497,0.8653749709729475,0.4090909090909091,0.6296297533785091,0.8500004510648164,0.5
7,"(0, 8)",0.1,0.5069370914687054,0.8585349848884792,0.35964912280701755,0.0,0.8560786433553511,0.0
8,"(0, 9)",100.0,0.0,0.9654382543376483,0.0,0.2836995834209826,0.9526433925906387,0.16666666666666666
9,"(0, 10)",1.0,0.6206291349084582,0.8456399060686075,0.49019607843137253,0.0,0.8417600726976077,0.0
10,"(1, 2)",0.01,0.00829234543368697,0.8429668171614602,0.004166666666666667,0.0,0.843034044072657,0.0
11,"(1, 3)",0.01,0.03612338125077771,0.8530571991112157,0.018452380952380953,0.620266126801684,0.8524129203944776,0.4875
12,"(1, 4)",1.0,0.6075502010007403,0.8402824355521492,0.4757751937984496,0.2527861888850471,0.8381705212890019,0.14883720930232558
13,"(1, 5)",1.0,0.8301444583396085,0.8425009689802898,0.8181451612903226,0.3970024183639849,0.8383695259356531,0.2600806451612903
14,"(1, 6)",0.1,0.2915670880578795,0.8389537609296109,0.17644389438943894,0.4540392053289783,0.8370056130739336,0.311509900990099
15,"(1, 7)",1.0,0.756342153673125,0.8533054913854554,0.6791666666666667,0.00829283600622905,0.8532287395242228,0.004166666666666667
16,"(1, 8)",0.1,0.12166652536683416,0.8420775118335064,0.06557017543859649,0.6221260065173165,0.8359872261000426,0.4953947368421052
17,"(1, 9)",100.0,0.008296785283948043,0.9458764356663861,0.004166666666666667,0.0082974735260768,0.9641102115057697,0.004166666666666667
18,"(1, 10)",0.01,0.8842459709608156,0.8367168575430325,0.9375,0.6705083505367128,0.8330738820663741,0.5610294117647059
19,"(2, 3)",0.01,0.08163568072500858,0.8578109525854996,0.04285714285714286,0.623081133852614,0.8548069012426308,0.49019607843137253
20,"(2, 4)",0.01,0.4416963543255188,0.83705530427349,0.3,0.27593583114117176,0.8391205182851538,0.16511627906976745
21,"(2, 5)",1.0,0.6126142780637547,0.847820312281272,0.47956989247311826,0.3925838159930224,0.8425377163525061,0.25591397849462366
22,"(2, 6)",10.0,0.14146430393001913,0.8409550423079928,0.07722772277227723,0.0059197031070264946,0.8416694574836083,0.0029702970297029703
23,"(2, 7)",1.0,0.8209501539398846,0.8611769759854788,0.7843137254901961,0.9119220759481755,0.8599437058802324,0.9705882352941176
24,"(2, 8)",100.0,0.569879332643646,0.8453197763244334,0.4298245614035088,0.7338703100223944,0.7254216735573461,0.7425180598555212
25,"(2, 9)",0.1,0.2846492029696218,0.9744763534614267,0.16666666666666666,0.6601689859939877,0.9713195070275548,0.5
26,"(2, 10)",0.01,0.5344020219379657,0.838573853841265,0.39215686274509803,0.6262485821236861,0.8377875670440018,0.5
27,"(3, 4)",100.0,0.5976041480035363,0.8591391029312326,0.45813953488372094,0.47468408037034043,0.857067040470151,0.3282392026578073
28,"(3, 5)",1.0,0.6191157923944538,0.8592934395438728,0.4838709677419355,0.3686621531948704,0.8587007822389265,0.234715821812596
29,"(3, 6)",100.0,0.5490357984012045,0.8611949737833182,0.402970297029703,0.47017459565640923,0.858329347245965,0.3237623762376238
