,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",0.01,0.655772834311796,0.9843117363044244,0.49166666666666664,0.993686218035651,0.9915483416045373,0.9958333333333333
1,"(0, 2)",1.0,0.6636335972770342,0.9864742612590953,0.5,0.9950574135133985,0.9901634450503658,1.0
2,"(0, 3)",1.0,0.0,0.9871734413327931,0.0,0.10805174038640147,0.9904412922899534,0.05714285714285714
3,"(0, 4)",1.0,0.6393274536240501,0.9900394395086691,0.4720930232558139,0.46859203340291017,0.9895804688804234,0.30697674418604654
4,"(0, 5)",0.1,0.11348349568999855,0.983704711691868,0.060215053763440864,0.3723340283014897,0.9947045143110801,0.22903225806451613
5,"(0, 6)",1.0,0.6588651075819462,0.9886555546572525,0.49405940594059405,0.9922939022607219,0.9935016283310595,0.9910891089108911
6,"(0, 7)",1.0,0.663180427970808,0.98447430470776,0.5,0.9936454044202797,0.9873710606427755,1.0
7,"(0, 8)",1.0,0.0,0.9922289666929124,0.0,0.8160627534343464,0.9923057185541452,0.6929824561403508
8,"(0, 9)",0.1,0.6637997445118583,0.9872088638779627,0.5,0.9892182929667883,0.9786665964407736,1.0
9,"(0, 10)",0.01,0.2844790726798197,0.9705024320444819,0.16666666666666666,0.0,0.9564149089064288,0.0
10,"(1, 2)",1.0,0.6912710563099462,0.9821049754638875,0.5333333333333333,0.9940750740876141,0.9923230127200608,0.9958333333333333
11,"(1, 3)",0.01,0.06449373543186131,0.9893507657432193,0.03333333333333333,0.0,0.9934609759787523,0.0
12,"(1, 4)",0.1,0.6605885086842315,0.9897046574536135,0.49573643410852714,0.9930616232724502,0.9903052994279944,0.9958333333333333
13,"(1, 5)",100.0,0.008297897192499914,0.9756867091692215,0.004166666666666667,0.3301260027449171,0.9960704842414067,0.1978494623655914
14,"(1, 6)",0.1,0.6884186826698772,0.9898300463365879,0.5277227722772277,0.9916531769250132,0.9954222473747092,0.9879125412541254
15,"(1, 7)",10.0,0.9903282721195177,0.9808418367803853,1.0,0.992099048276551,0.9883926650537792,0.9958333333333333
16,"(1, 8)",1.0,0.8541577770484574,0.9907631001731259,0.7506578947368421,0.9910997841311648,0.9951713450914984,0.9870614035087719
17,"(1, 9)",0.1,0.9882935257695078,0.9768579631964968,1.0,0.988374319414367,0.981026214122972,0.9958333333333333
18,"(1, 10)",1.0,0.6598074128804793,0.96975571758809,0.5,0.652139642030623,0.9523618122989436,0.49583333333333335
19,"(2, 3)",100.0,0.2410820793553474,0.989887813059744,0.13725490196078433,0.0,0.991397086794135,0.0
20,"(2, 4)",0.1,0.9924562713677232,0.9895804688804234,0.9953488372093023,0.9932685762777504,0.9889014762499776,0.9976744186046511
21,"(2, 5)",10.0,0.6580736188581813,0.950575619628895,0.5032258064516129,0.31952257480998103,0.9949245363132805,0.19032258064516128
22,"(2, 6)",1.0,0.9645313387991998,0.989611349161434,0.940691127936323,0.9927897918361469,0.9944963214487833,0.9910891089108911
23,"(2, 7)",0.01,0.9909513415111172,0.982064970974871,1.0,0.9935435644862555,0.9871699652644205,1.0
24,"(2, 8)",10.0,0.7780921280787363,0.9913299520602664,0.6403508771929824,0.9926153261266061,0.9940064705395272,0.9912280701754386
25,"(2, 9)",100.0,0.6636876590081362,0.9867132098851409,0.5,0.9904476432066978,0.9810760546909246,1.0
26,"(2, 10)",1.0,0.6596395882277577,0.9690310115577812,0.5,0.6737473908980323,0.9579064259000886,0.5196078431372549
27,"(3, 4)",100.0,0.6529666953182358,0.994503294415463,0.48604651162790696,0.9964846962679127,0.9929940206810721,1.0
28,"(3, 5)",10.0,0.0021482016219913557,0.9888193231087814,0.001075268817204301,0.3893557356088977,0.9966538320498716,0.24193548387096775
29,"(3, 6)",0.01,0.5960580145448765,0.9935016283310595,0.42574257425742573,0.2936800707581007,0.9944963214487833,0.17227722772277226
30,"(3, 7)",10.0,0.7359644436980013,0.9898975851310404,0.5857142857142857,0.9954915456019472,0.9910235610694696,1.0
31,"(3, 8)",0.1,0.7303083453756681,0.9925068139325002,0.5776942355889724,0.017390462746112865,0.9944654411677727,0.008771929824561403
32,"(3, 9)",100.0,0.7355622694139072,0.9884437664411385,0.5857142857142857,0.990316213391994,0.9808181794410342,1.0
33,"(3, 10)",100.0,0.6220276251213666,0.9729601893409487,0.45714285714285713,0.656981787703922,0.9576485506501979,0.5
34,"(4, 5)",0.01,0.6541889620863639,0.9643075810603321,0.4949987496874218,0.9915738600464424,0.9917499331386773,0.9913978494623656
35,"(4, 6)",0.01,0.4640492895290357,0.9906048723960438,0.30299332258807277,0.9924340551270402,0.9917996155262708,0.9930693069306931
36,"(4, 7)",100.0,0.9768261001999189,0.9839882678423021,0.9697674418604652,0.9499427567830582,0.9888825496261325,0.913953488372093
37,"(4, 8)",0.1,0.6737463201394409,0.992227705873506,0.5100367197062423,0.5839859427758721,0.9910708159909694,0.413953488372093
38,"(4, 9)",1.0,0.9907275858314178,0.9884425056217321,0.9930232558139536,0.9889494194365274,0.9781404001423668,1.0
39,"(4, 10)",10.0,0.6595283493769089,0.9735519843115364,0.49867761057911536,0.6648520865470837,0.9554297419797765,0.5098039215686274
40,"(5, 6)",0.01,0.6369563865159799,0.9678063623110064,0.4746832747790908,0.003952546645642824,0.9971247563352826,0.0019801980198019802
41,"(5, 7)",0.01,0.6711519472270049,0.9706235067705502,0.5129032258064516,0.004291746365694317,0.9893512618990042,0.002150537634408602
42,"(5, 8)",1.0,0.45922555109483404,0.9902611544784209,0.2989247311827957,0.40316043830320236,0.9966538320498716,0.25268817204301075
43,"(5, 9)",1.0,0.7716208233335314,0.9897913059034047,0.6322580645161291,0.36669017639781065,0.995584602319881,0.22473118279569892
44,"(5, 10)",10.0,0.47444872192294946,0.9921899771430778,0.31176470588235294,0.3906138916719049,0.9949245363132805,0.24301075268817204
45,"(6, 7)",100.0,0.9911205248016334,0.9872224499930575,0.995049504950495,0.9910631533742059,0.9900491779168684,0.9920792079207921
46,"(6, 8)",10.0,0.6668998178802327,0.993750194084469,0.5018412367552545,0.990334254381376,0.9964456391875748,0.9842973771061316
47,"(6, 9)",1.0,0.9852364896333701,0.9903270251564563,0.9801980198019802,0.9868782949197764,0.9836784654696369,0.9900990099009901
48,"(6, 10)",10.0,0.6578347938001671,0.9762679548333197,0.49603960396039604,0.6515878848883386,0.9603266679242909,0.49306930693069306
49,"(7, 8)",0.1,0.6639553404320138,0.9878974736357726,0.5,0.99089093052036,0.9905540201253361,0.9912280701754386
50,"(7, 9)",100.0,0.992186030960665,0.984493231331605,1.0,0.9932192669501496,0.9865298712475169,1.0
51,"(7, 10)",100.0,0.6614958738071234,0.9770868692900496,0.5,0.664441804934439,0.9537371296077615,0.5098039215686274
52,"(8, 9)",0.01,0.7450158118582952,0.9920278713145575,0.5964912280701754,0.0,0.9832075411842259,0.0
53,"(8, 10)",100.0,0.5870968883235262,0.9693747900671538,0.42105263157894735,0.0,0.9590810725233564,0.0
54,"(9, 10)",100.0,0.65964394443997,0.9690498136643642,0.5,0.0,0.9570939015368746,0.0
