,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.6425422743143524,0.9749637647502912,0.4791666666666667,0.6598657885424948,0.9700079649661105,0.5
1,"(0, 2)",10.0,0.27067512146612743,0.9862596729254606,0.1568627450980392,0.6603939447371437,0.972294125064991,0.5
2,"(0, 3)",1.0,0.1079796629817397,0.9784675320053959,0.05714285714285714,0.5829955846429712,0.983511807780222,0.4142857142857143
3,"(0, 4)",1.0,0.5417118825617878,0.9792477355790346,0.3744186046511628,0.6582269012423873,0.9717038716160403,0.49767441860465117
4,"(0, 5)",1.0,0.4547870846827086,0.9726708235281869,0.2967741935483871,0.6568015786182992,0.973040839521383,0.4956989247311828
5,"(0, 6)",100.0,0.044514284115987034,0.9839083778881227,0.02277227722772277,0.6530310619871345,0.9743254244721524,0.4910891089108911
6,"(0, 7)",100.0,0.30679987621557614,0.9814434038222696,0.18181818181818182,0.6205063681056633,0.9773508593911752,0.45454545454545453
7,"(0, 8)",10.0,0.0,0.9794112786796929,0.0,0.0,0.9802875189815984,0.0
8,"(0, 9)",100.0,0.0,0.973301020956532,0.0,0.6609624329037814,0.9747628243158685,0.5
9,"(0, 10)",0.01,0.5589089829843895,0.9723841250658928,0.39215686274509803,0.6596203075679931,0.9689477989345036,0.5
10,"(1, 2)",100.0,0.8738984914453112,0.9842699162925259,0.7857843137254902,0.9871751716985674,0.9746751305002255,1.0
11,"(1, 3)",100.0,0.6906363760554187,0.9835885596414546,0.5321428571428571,0.9403358321243801,0.9844568152739256,0.9
12,"(1, 4)",100.0,0.7663751703166046,0.9911359185073655,0.6247093023255814,0.983970732161571,0.9728498195441664,0.9953488372093023
13,"(1, 5)",100.0,0.6766661917632397,0.9797326576511473,0.5168010752688172,0.9855419412759965,0.976624572756279,0.9946236559139785
14,"(1, 6)",0.1,0.6501828230247729,0.9888048109132792,0.48432343234323433,0.9830985346851191,0.9761963578917816,0.9900990099009901
15,"(1, 7)",100.0,0.6955517390681952,0.9865455048344829,0.5371212121212121,0.9674254514627836,0.9806577907523353,0.9545454545454546
16,"(1, 8)",0.1,0.5281694469267497,0.9839505909652159,0.36096491228070177,0.9710922367799236,0.9773518644330407,0.9649122807017544
17,"(1, 9)",10.0,0.6503164844208762,0.9764255681096277,0.4875,0.9860704058337557,0.9725235474999648,1.0
18,"(1, 10)",100.0,0.6726355609398126,0.9774296616601252,0.5127450980392156,0.6602348121958695,0.9716045608776217,0.5
19,"(2, 3)",1.0,0.5233283982845957,0.9960035044514703,0.3549019607843137,0.9433416152973201,0.9856904570176948,0.9044817927170868
20,"(2, 4)",0.01,0.539058869271924,0.9806781983881953,0.3716826265389877,0.5140997994683006,0.9852373601415442,0.34778841769265845
21,"(2, 5)",0.1,0.43568463532836454,0.9874165628079974,0.2795066413662239,0.9865965131128361,0.976624572756279,0.9967741935483871
22,"(2, 6)",0.01,0.6702806253737421,0.9804948260874742,0.5091826829741798,0.9855530556577708,0.9771910510095057,0.994059405940594
23,"(2, 7)",0.01,0.5629040031681509,0.9801304885784545,0.39483065953654184,0.9700225358005675,0.9860097823450048,0.9545454545454546
24,"(2, 8)",1.0,0.2972875759618574,0.9894342761000637,0.17492260061919504,0.0,0.9886675896539749,0.0
25,"(2, 9)",1.0,0.5388302299409721,0.9732040816520475,0.37254901960784315,0.9867097515725256,0.9737681311981446,1.0
26,"(2, 10)",1.0,0.5297411650998152,0.9816703046184302,0.36274509803921573,0.6610211117393515,0.9750181126782702,0.5
27,"(3, 4)",1.0,0.058610461561956394,0.9554038120447087,0.030232558139534883,0.6594759958518898,0.9771684173477436,0.49767441860465117
28,"(3, 5)",100.0,0.12279094356935587,0.9938816350855332,0.06543778801843318,0.9461101148117554,0.9852224563541626,0.9099846390168971
29,"(3, 6)",100.0,0.2864757861693685,0.9949640187824733,0.16732673267326734,0.9432016518004049,0.9843271312480526,0.9053748231966054
30,"(3, 7)",0.1,0.13778210276085787,0.9931458625835519,0.07402597402597402,0.0,0.9874305788477147,0.0
31,"(3, 8)",0.01,0.4582360230019191,0.9830448524825416,0.29874686716791976,0.9729724825774047,0.983511807780222,0.96265664160401
32,"(3, 9)",100.0,0.10800741260567442,0.9830448524825416,0.05714285714285714,0.947431939836434,0.983071918719754,0.9142857142857144
33,"(3, 10)",100.0,0.27747151736905723,0.9900692440792849,0.16134453781512606,0.7521011267462014,0.9795752282007837,0.6103641456582634
34,"(4, 5)",0.1,0.304871109244022,0.9902587877835403,0.18017004251062765,0.982877638515873,0.9736343872482487,0.9922980745186296
35,"(4, 6)",100.0,0.37361911557021615,0.9883555214200376,0.23034768593138383,0.9804038850262932,0.9721844130288153,0.9887635275155422
36,"(4, 7)",100.0,0.4564532339837414,0.9874943600350817,0.29682875264270614,0.9646780370375732,0.9774665098659501,0.9522198731501057
37,"(4, 8)",100.0,0.1322215466228162,0.9541878361053779,0.07103223174214607,0.6601076812698032,0.9890909559465931,0.49534883720930234
38,"(4, 9)",1.0,0.13825812326592749,0.9725770808308805,0.07441860465116279,0.0,0.9832880424027527,0.0
39,"(4, 10)",100.0,0.593599221672022,0.9820381518589194,0.4253533971728226,0.9839278584149117,0.9705549664029383,0.9976744186046511
40,"(5, 6)",0.01,0.19300291884833304,0.9885166728189984,0.10694133929521984,0.006091899398366044,0.9778988668523552,0.0030554668370062813
41,"(5, 7)",100.0,0.21045879609833237,0.9867564968013967,0.11779081133919844,0.9649296092191365,0.9812223364542175,0.9491691104594331
