,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(1, 2)",0.01,0.3756345177664975,1.0,0.23125,0.0,0.9885057471264368,0.0
1,"(1, 4)",0.01,0.7590759864028922,0.9958333333333332,0.6132718524458701,0.9964627801818445,0.9958333333333332,0.997093023255814
2,"(1, 5)",0.01,0.022987400211599503,0.9958333333333332,0.011627906976744186,0.01729044082183853,0.9958333333333332,0.00872093023255814
3,"(1, 6)",0.01,0.8076943873688764,0.9958333333333332,0.6793478260869565,0.6071279420976939,0.9958333333333332,0.43667846309403435
4,"(2, 4)",0.01,0.9910537508249616,0.9883720930232558,0.99375,0.9929984630772609,0.9922480620155039,0.99375
5,"(2, 5)",0.01,0.6589566125820248,0.9903100775193798,0.49375,0.993967975433209,0.9941860465116279,0.99375
6,"(2, 6)",0.01,0.8469854592089839,0.9651162790697674,0.7546195652173913,0.9900785397959434,0.9864341085271318,0.99375
7,"(4, 5)",0.01,0.648197391796876,0.9861434108527133,0.4827586206896552,0.9940049714870595,0.9880813953488371,1.0
8,"(4, 6)",0.01,0.8413770747843257,0.9764534883720931,0.7391304347826086,0.8569529822229606,0.7497093023255813,1.0
9,"(5, 6)",0.01,0.884718827278764,0.8679263565891473,0.9021739130434783,0.9890777293431944,0.9783914728682171,1.0
