,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.6536000417899168,0.9434181879917034,0.5,0.8830764344459053,0.9265701201693144,0.843482905982906
1,"(0, 2)",100.0,0.391550390361186,0.9513283291999741,0.2465034965034965,0.8032031935288699,0.9423111331886683,0.6998834498834499
2,"(0, 3)",0.01,0.706887159981838,0.950346833655562,0.5627276867030966,0.6811812469235525,0.934996434670921,0.5357468123861566
3,"(0, 4)",0.1,0.7830649068542898,0.9302832276350075,0.6760752688172043,0.8285359336362633,0.904194872120654,0.7645609318996416
4,"(0, 5)",100.0,0.34118305217063866,0.9416587031519259,0.20833333333333334,0.64267116214178,0.8999633497890964,0.4997863247863248
5,"(0, 6)",10.0,0.4631175935825126,0.9445411949343288,0.3067632850241546,0.8544698304991397,0.9261473246383098,0.7930900621118012
6,"(0, 7)",100.0,0.07977041595761172,0.9328780269270146,0.041666666666666664,0.5034442083179469,0.915218851673523,0.3472222222222222
7,"(0, 8)",0.1,0.5795348864738373,0.9514355676801257,0.4166666666666667,0.7924234310356948,0.9351407829627626,0.6875
8,"(0, 9)",0.1,0.34096027770335213,0.9382747237174313,0.20833333333333334,0.5667175099162253,0.8856649720636013,0.4166666666666667
9,"(0, 10)",0.1,0.7312314820475312,0.9505078102090851,0.5941619585687382,0.7924642154462124,0.9385416267265083,0.6857344632768362
10,"(1, 2)",0.01,0.6175978932697295,0.9331088346359331,0.46153846153846156,0.01043034147903252,0.9245479641257555,0.005244755244755245
11,"(1, 3)",0.1,0.791514231776658,0.9413078342865864,0.6828499369482977,0.8385145350485878,0.9279293248260332,0.7648171500630517
12,"(1, 4)",0.01,0.0,0.9110033632301722,0.0,0.0,0.8791430978319238,0.0
13,"(1, 5)",100.0,0.6151188548366655,0.9218820326640239,0.46153846153846156,0.6113041618708012,0.9049552029831663,0.46153846153846156
14,"(1, 6)",1.0,0.43645093490622267,0.9276253402651784,0.2853559483994267,0.49051411156161007,0.918311093929985,0.33462732919254656
15,"(1, 7)",100.0,0.612268057017978,0.9091930377289434,0.46153846153846156,0.0,0.8949349052781569,0.0
16,"(1, 8)",10.0,0.6194157584404225,0.9273333672781815,0.4650106837606838,0.2036415160127044,0.914154201325622,0.11458333333333333
17,"(1, 9)",1.0,0.0,0.9153785296390731,0.0,0.0,0.886937586172142,0.0
18,"(1, 10)",1.0,0.8118864705600092,0.92711948964012,0.7221316818774446,0.1830856998133534,0.9169998463049465,0.1016949152542373
19,"(2, 3)",1.0,0.21146976539446422,0.9488063147920821,0.11899575834002063,0.21969256388363037,0.9548427987128538,0.12412587412587413
20,"(2, 4)",1.0,0.7175405956764475,0.9304715446313347,0.583916083916084,0.15088907621857592,0.9220352540531146,0.08216783216783216
21,"(2, 5)",0.01,0.5433069963765967,0.9352018417978631,0.38286713286713286,0.003489852548234089,0.9173339757663028,0.0017482517482517483
22,"(2, 6)",0.1,0.4558111455668723,0.9360018277314516,0.30125852408461107,0.8535044074361444,0.9323074153322989,0.7869847543760586
23,"(2, 7)",100.0,0.566417777767306,0.911643456277458,0.41083916083916083,0.545377449292624,0.9045918165122809,0.39036363636363636
24,"(2, 8)",100.0,0.5992728813796931,0.9316182073897319,0.4417006604506605,0.830848435365284,0.9329988787541503,0.74885878010878
25,"(2, 9)",0.1,0.5196106844507599,0.9210218831935961,0.3618881118881119,0.5237767246412581,0.8926119079792323,0.3706293706293706
26,"(2, 10)",1.0,0.7719379660098131,0.9308194504559449,0.659387222946545,0.6037874635515126,0.9330586584703161,0.446293113665995
27,"(3, 4)",0.1,0.36201799310137817,0.9331117139302678,0.22457253657676712,0.7230807737348913,0.9061868810732316,0.6015335801163406
28,"(3, 5)",10.0,0.5925535968502886,0.9316752984181134,0.4344262295081967,0.6251318224481659,0.9011171336692093,0.478562421185372
29,"(3, 6)",100.0,0.4672290617005921,0.9412631715776725,0.31073719580490783,0.4940751426427823,0.9450993729364728,0.3344618674269423
30,"(3, 7)",100.0,0.25455162697325523,0.9266341511080723,0.14754098360655737,0.0,0.912092341269243,0.0
