,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.5985316459301999,0.9446581121254548,0.43803418803418803,0.8670616107567917,0.9301787262641857,0.811965811965812
1,"(0, 2)",0.1,0.6605576241622214,0.9625117706629235,0.5028166278166278,0.8380939197668699,0.9656789629083318,0.7402874902874903
2,"(0, 3)",0.1,0.6450399898989311,0.9566033417874844,0.48656648451730417,0.8313210830522828,0.9441179823322159,0.7426001821493624
3,"(0, 4)",0.1,0.7768440706972133,0.9319615774352356,0.665994623655914,0.8971489705351376,0.9326548869096799,0.864247311827957
4,"(0, 5)",100.0,0.5916846090858612,0.9465705216199952,0.43034188034188037,0.7296594445990506,0.931836054798249,0.5995726495726496
5,"(0, 6)",100.0,0.5988710334647993,0.9508892386332953,0.4370686680469289,0.9035313619729464,0.9394533023365644,0.8702553485162181
6,"(0, 7)",0.01,0.5220430669707052,0.941734176691781,0.3611111111111111,0.898428862952345,0.9324790839744446,0.8667777777777779
7,"(0, 8)",0.1,0.18769973194343886,0.9475832667946528,0.10416666666666667,0.8650966437743483,0.9388550180651907,0.8020833333333333
8,"(0, 9)",100.0,0.5885937399063963,0.94091583919016,0.42824074074074076,0.8995710141418346,0.9334610729020967,0.8680555555555556
9,"(0, 10)",0.1,0.7410882346225798,0.9410122235697309,0.611228813559322,0.8796099721137682,0.9439957621091022,0.8234463276836159
10,"(1, 2)",10.0,0.4563263231809102,0.9458527015428749,0.30069930069930073,0.5501759711791372,0.9344238697738927,0.3898601398601399
11,"(1, 3)",0.1,0.38599981530320265,0.9323649945569463,0.24337957124842372,0.5740521139197169,0.9158789213954809,0.4180327868852459
12,"(1, 4)",1.0,0.6948341914820877,0.906573805881057,0.5632754342431762,0.9440340525111882,0.9072975917001008,0.9838709677419355
13,"(1, 5)",0.1,0.36909893537727206,0.9214313501156427,0.23076923076923078,0.9183182399453051,0.9136083694804906,0.9230769230769231
14,"(1, 6)",100.0,0.5421069886532901,0.9259348002917274,0.3832417582417582,0.9506111505842838,0.9251759130591751,0.9774844720496895
15,"(1, 7)",0.1,0.20503372370672954,0.9192644735276164,0.11538461538461539,0.2627186131074227,0.8987086460972399,0.15384615384615385
16,"(1, 8)",0.1,0.6781711641572321,0.9142391457401549,0.5389957264957265,0.9119601121072155,0.914749145632566,0.9091880341880342
17,"(1, 9)",10.0,0.3293354832991003,0.921431183276811,0.2004985754985755,0.6403713278922167,0.9053900547239783,0.49537037037037035
18,"(1, 10)",0.01,0.5537231690267406,0.935435762421875,0.39325293350717083,0.5845944618058494,0.9123655388367692,0.4300847457627119
19,"(2, 3)",100.0,0.6848947339989018,0.9486094255380869,0.5359108105009744,0.844005000541034,0.9515790554712551,0.7582827009056518
20,"(2, 4)",10.0,0.6497351860218741,0.9351557216850677,0.49780058651026393,0.7676669208573318,0.9343736257139518,0.6514399578915708
21,"(2, 5)",0.1,0.3018839690584364,0.9331283787524036,0.18006993006993008,0.5445944772102391,0.9183594954320229,0.38706293706293704
22,"(2, 6)",0.1,0.5115764453108378,0.9508388587979364,0.34992181731312166,0.8872865253254668,0.9459360045159878,0.8354851670069061
23,"(2, 7)",1.0,0.24602193279111204,0.9366557414327473,0.14160839160839161,0.8828240515661401,0.9300776260169443,0.8401398601398602
24,"(2, 8)",1.0,0.6833491130147392,0.9377810478161503,0.5375145687645688,0.8808623297354198,0.9443555788961372,0.8253690753690753
25,"(2, 9)",10.0,0.5442973377946617,0.9362420300637945,0.3836765086765087,0.8931147182753181,0.9391293952432771,0.8513986013986015
26,"(2, 10)",100.0,0.39575470336885377,0.947177989685374,0.25013334123503617,0.7594007865724768,0.9554774448755319,0.6300965983169373
27,"(3, 4)",100.0,0.7994109661449119,0.9165911131500667,0.7087960514718843,0.9101368446768718,0.9130116374932145,0.9072800987132029
28,"(3, 5)",1.0,0.59058548255157,0.9353559615896009,0.43152585119798237,0.715950689698221,0.9180951996525921,0.5867591424968475
29,"(3, 6)",0.1,0.6033099807221756,0.9349255500522131,0.4453467060380817,0.9107592574893194,0.9295043007637322,0.8927553202321556
30,"(3, 7)",0.01,0.3680644953856646,0.9287746646057001,0.22950819672131148,0.9115180471514607,0.921615617674484,0.9016393442622951
31,"(3, 8)",1.0,0.6162958231691846,0.9316569098157517,0.4604394353369763,0.8798374156900033,0.9196907034373615,0.8432946265938069
32,"(3, 9)",100.0,0.2363819649871328,0.9300317187252314,0.13539769277474195,0.225417164833632,0.9099284775908296,0.12864298724954462
33,"(3, 10)",0.01,0.6525359145562067,0.9424468007794329,0.49902750764101134,0.8933754483536969,0.9366563116121321,0.8539177549319255
34,"(4, 5)",100.0,0.6695907828775037,0.9178223403998318,0.5270471464019851,0.8983750649035792,0.9076921465207182,0.889247311827957
35,"(4, 6)",100.0,0.5512337872453391,0.9158975414093966,0.3942596674013224,0.9406463414772963,0.9131611991992652,0.9698373739397582
36,"(4, 7)",1.0,0.5101192937892678,0.9070543806559448,0.3548387096774194,0.7073661956620483,0.8847133913075137,0.589247311827957
37,"(4, 8)",1.0,0.6531656749794353,0.9150067816761425,0.5078405017921147,0.9370794279739051,0.9077090795056816,0.9684139784946237
38,"(4, 9)",0.01,0.6663100172876613,0.9132421269735117,0.5244922341696535,0.9477568094705984,0.909606558653786,0.989247311827957
39,"(4, 10)",1.0,0.7309197393195056,0.9339026368376572,0.6004191725897576,0.9148803199682374,0.9211053788436777,0.9087388372516858
40,"(5, 6)",10.0,0.46876847294367363,0.9225478443396923,0.31421404682274245,0.9214236451116509,0.9161641185483221,0.9267439082656475
41,"(5, 7)",0.01,0.10174201180428874,0.9206964028901221,0.05384615384615385,0.030259425898230392,0.9131525720616263,0.015384615384615385
42,"(5, 8)",10.0,0.6366151995038944,0.9184772902224664,0.48712606837606837,0.7125614291041107,0.9003635380746066,0.5895833333333333
43,"(5, 9)",0.1,0.4329633110003908,0.9145259777131829,0.28361823361823363,0.9140416331397623,0.9051815076583585,0.9230769230769231
44,"(5, 10)",0.01,0.35397523213232857,0.9307320845276532,0.21854628422425032,0.8931197980519301,0.9200019560946262,0.8677640156453716
45,"(6, 7)",10.0,0.48178695447029724,0.9220449909470082,0.32608695652173914,0.9384967536230774,0.9095324751199142,0.9693664596273293
46,"(6, 8)",0.1,0.6507964451411207,0.9230449883442918,0.502566425120773,0.942791633474234,0.9169130683602833,0.9701733954451346
47,"(6, 9)",10.0,0.38591515674299903,0.9204939948316037,0.24413388543823328,0.021482680063142162,0.9105363758960203,0.010869565217391304
48,"(6, 10)",1.0,0.4793018492316833,0.9320364676747543,0.32259974734182545,0.9172871007658965,0.9306326742409061,0.9043188756711232
49,"(7, 8)",100.0,0.5751553983212788,0.9114475755857394,0.4201388888888889,0.9343597907312154,0.9076947663981476,0.9626388888888888
50,"(7, 9)",0.01,0.3267941684392827,0.9117395660381684,0.19907407407407407,0.9475236909330691,0.91023332126258,0.988
51,"(7, 10)",0.01,0.43486852346828087,0.933876752760347,0.2834237288135593,0.9241235268002673,0.9224060039707577,0.9258474576271186
52,"(8, 9)",100.0,0.6393386087971366,0.9129988649409719,0.49189814814814814,0.9438421261203943,0.9109775835631301,0.9791666666666667
53,"(8, 10)",0.01,0.6424041473624973,0.9367200008927491,0.48881826741996237,0.8773777325607698,0.9133144951038865,0.8441619585687382
54,"(9, 10)",100.0,0.6092408534352122,0.9267209806926007,0.45378217200251103,0.9223889590767348,0.9253047108093553,0.9194915254237288
