,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.7102137365888539,0.9249719100683245,0.5763888888888888,0.900931761435054,0.899093279221677,0.9027777777777778
1,"(0, 2)",100.0,0.21586500832207858,0.9512501405807726,0.12174630924630925,0.6367942268900576,0.9277997833561274,0.48475135975135974
2,"(0, 3)",1.0,0.7280140073221606,0.9380409299535997,0.5948315118397085,0.8530047904737891,0.9244908751974532,0.7917805100182149
3,"(0, 4)",100.0,0.7887468346622379,0.9274087915721796,0.6861559139784946,0.5648208801797954,0.8834865042776392,0.4150985663082437
4,"(0, 5)",1.0,0.664968365898854,0.938658490451598,0.5148504273504273,0.6414608750351147,0.9082022384318622,0.49583333333333335
5,"(0, 6)",1.0,0.7359265191614549,0.944554466106687,0.6027864044168392,0.8661367602112233,0.9230113716074323,0.8158643892339544
6,"(0, 7)",1.0,0.5088970228566975,0.9200347673623646,0.3517222222222222,0.6875748394451534,0.9061754251481644,0.5539444444444444
7,"(0, 8)",0.01,0.7579727756966257,0.9391023103367596,0.6354166666666666,0.841474782855789,0.9366026983122714,0.7638888888888888
8,"(0, 9)",100.0,0.7536307559246629,0.9384523431748479,0.6296296296296297,0.8850209890551303,0.91029656556874,0.8611111111111112
9,"(0, 10)",100.0,0.7428597591134494,0.9211142728049982,0.6224105461393598,0.7900111453327862,0.8920470321361782,0.708921845574388
10,"(1, 2)",100.0,0.141989761379807,0.9212152320286331,0.07692307692307693,0.01388016800266215,0.9170316041571821,0.006993006993006993
11,"(1, 3)",0.1,0.7263298753930635,0.905041966921066,0.6065573770491803,0.8972473567295837,0.9095786963667037,0.8852459016393442
12,"(1, 4)",100.0,0.6538976865246715,0.8763806429421912,0.521505376344086,0.010686795497266942,0.8719617160103179,0.005376344086021506
13,"(1, 5)",0.01,0.2042015688866882,0.8868570968380101,0.11538461538461539,0.8339581364460308,0.8899234852554321,0.7846153846153846
