,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",0.1,0.7821430142495192,0.9543871522348965,0.6625656951743908,0.7170158689614655,0.9492263680869749,0.5760869565217391
1,"(0, 2)",10.0,0.43037768414970795,0.968791506380368,0.27663533098315707,0.6108265946209104,0.9641055189764614,0.4470231100665883
2,"(0, 3)",10.0,0.6573941112023367,0.9594028192413548,0.5,0.6912170993827952,0.9492647076176569,0.5434782608695652
3,"(0, 4)",0.1,0.8393628048226275,0.9676202871557464,0.7411268855368234,0.0,0.9470804047668765,0.0
4,"(0, 5)",100.0,0.5641026467152812,0.970263699579491,0.39764492753623193,0.6537564883398146,0.9440703815721352,0.5
5,"(0, 6)",100.0,0.4234482384501749,0.9714078160364021,0.2707317073170732,0.487958670895425,0.9768412636625994,0.3252032520325203
6,"(0, 7)",0.01,0.6462811975362085,0.951386022539809,0.4893492850889991,0.6493231280257326,0.9497400776893077,0.49328859060402686
7,"(0, 8)",0.01,0.5683021292346191,0.9786842001017523,0.40040444893832156,0.27055021875066704,0.9784998422638892,0.1569767441860465
8,"(0, 9)",100.0,0.5151891528647021,0.9700051038345031,0.3507360492981855,0.7006826705791016,0.9514798152536872,0.5545190003423486
9,"(0, 10)",0.1,0.8214762073329962,0.9692249986973979,0.7128146453089245,0.9717796682955874,0.9672855032886899,0.9763157894736842
10,"(1, 2)",0.01,0.3305097663375914,0.9700443825362205,0.1991881991881992,0.9403865344737398,0.978179348427622,0.9054054054054055
11,"(1, 3)",0.01,0.0324154684513217,0.9687369171115743,0.016483516483516484,0.010927004153799307,0.9682559052815716,0.005494505494505495
12,"(1, 4)",1.0,0.3787250566452524,0.9669223885970746,0.23547880690737832,0.010927033770868445,0.9687212316402616,0.005494505494505495
13,"(1, 5)",0.1,0.49216315969835966,0.976536698264193,0.3289835164835165,0.981748858103631,0.9641519834441267,1.0
14,"(1, 6)",1.0,0.8482844602215439,0.9765691829087323,0.7497900473510231,0.8990195548882628,0.9770645437555532,0.832520325203252
15,"(1, 7)",1.0,0.8399878925094421,0.9675152956724493,0.7421638763920644,0.9821006309752791,0.971161896558659,0.9932885906040269
16,"(1, 8)",100.0,0.7095331743301135,0.9757233766338685,0.5574527216969077,0.9201922860038517,0.9794031846306461,0.8677325581395349
17,"(1, 9)",1.0,0.6379103527045822,0.9685842207607855,0.4755559401228693,0.9620958234021212,0.9716206736390153,0.952755905511811
18,"(1, 10)",1.0,0.30259735938156607,0.9792327166172051,0.17894736842105263,0.5314853090123065,0.9716037603779254,0.36578947368421055
19,"(2, 3)",10.0,0.9361374970159106,0.9690291639555377,0.9054054054054055,0.9405357693775785,0.9785023458436428,0.9054054054054055
20,"(2, 4)",0.1,0.7379399853231501,0.976066906867389,0.5932156646442361,0.9421588343593974,0.9767776787332694,0.9099099099099099
21,"(2, 5)",0.1,0.2897398802340188,0.9785228527662014,0.17004504504504503,0.3854438100675306,0.9805751245370037,0.23986486486486486
22,"(2, 6)",100.0,0.7895070389725871,0.9840327828241402,0.6591957811470006,0.7569489449379416,0.9825525899412738,0.6156009668204789
23,"(2, 7)",0.1,0.860888072531114,0.9740739913105507,0.7712679122075095,0.9425372764588782,0.9814949039846899,0.9065542052119233
24,"(2, 8)",10.0,0.9153463917979263,0.9789933904984982,0.8594699350513304,0.8699958254110057,0.9895938631140075,0.7761889796773518
25,"(2, 9)",1.0,0.750623361942767,0.9779973566180805,0.6090302901326523,0.3385624000223243,0.9777893777941062,0.2047244094488189
26,"(2, 10)",0.1,0.6048232196628358,0.9726621408047406,0.4388572783309625,0.40974115670885236,0.9849238885133089,0.2586770981507824
27,"(3, 4)",100.0,0.6836543573913118,0.9701974053676816,0.5277777777777778,0.6575643764330651,0.9601284609113294,0.5
28,"(3, 5)",10.0,0.7322175416021901,0.9831459534060618,0.5833333333333334,0.9819162781476106,0.9644749808601473,1.0
29,"(3, 6)",10.0,0.9543525848922569,0.9754523054196174,0.9341463414634146,0.9025224202409791,0.976418548923512,0.8390243902439025
30,"(3, 7)",100.0,0.9622918943882084,0.9717458334824174,0.9530201342281879,0.9823581029240473,0.9716655624480313,0.9932885906040269
31,"(3, 8)",10.0,0.9659879050057281,0.9772924846472156,0.9549418604651163,0.9169920401143068,0.9795838531039975,0.8619186046511628
32,"(3, 9)",0.01,0.9437123029268164,0.9545992656529579,0.9330708661417323,0.9622541446954515,0.9719436710550359,0.952755905511811
