,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.6419548056349841,0.9341077623684912,0.489010989010989,0.6448464264758351,0.9464589682760018,0.489010989010989
1,"(0, 2)",100.0,0.6067512655634254,0.9524959738324311,0.445162553858206,0.4529490329964358,0.9506865008964395,0.2972972972972973
2,"(0, 3)",10.0,0.6349587312709266,0.9443745316884754,0.4782608695652174,0.65113416475398,0.933215722162648,0.5
3,"(0, 4)",1.0,0.6546740114279714,0.911154479843472,0.5108695652173914,0.6506073771060551,0.9310548284008006,0.5
4,"(0, 5)",100.0,0.8008704169540841,0.9590141806225283,0.6875,0.4468447473048702,0.9548763142490296,0.2916666666666667
5,"(0, 6)",10.0,0.2131501531066692,0.9326217880665238,0.12032520325203253,0.5319435061127569,0.9628727654209093,0.367479674796748
6,"(0, 7)",100.0,0.2853639877705885,0.9420442584498426,0.16814998540997955,0.6517889198900922,0.9478991535416044,0.4966442953020134
7,"(0, 8)",10.0,0.0,0.9668825654012598,0.0,0.21449907161249435,0.9662834210293096,0.12063953488372094
8,"(0, 9)",1.0,0.6208557975466158,0.952000353934157,0.46062992125984253,0.6077376943685269,0.9586754849250637,0.4448818897637795
9,"(0, 10)",1.0,0.5811887472091296,0.9378902311593349,0.42105263157894735,0.6162449905823927,0.953351831795413,0.45526315789473687
10,"(1, 2)",0.1,0.8144819019386417,0.9637941133271737,0.7052272052272053,0.8367784388346503,0.9761115897523687,0.7322542322542323
11,"(1, 3)",1.0,0.532774489111861,0.9638409435136752,0.36813186813186816,0.637685682152521,0.9361897084869609,0.4835164835164835
12,"(1, 4)",0.1,0.8468939371242534,0.9590208207001356,0.7582417582417582,0.021727014452843477,0.9512001698391575,0.01098901098901099
13,"(1, 5)",0.01,0.8061340385101307,0.9840696278500515,0.6826923076923077,0.8537489486870572,0.9741366902473225,0.7598443223443223
14,"(1, 6)",0.01,0.6524762751254982,0.9557099414269581,0.4953185026355758,0.8336468856282172,0.9650725478226501,0.7337264361654605
15,"(1, 7)",10.0,0.6586715516716904,0.9526095235875854,0.5033557046979866,0.651736621403194,0.946605671969521,0.4969393023084298
16,"(1, 8)",10.0,0.6724231997764308,0.9358912693895124,0.5247093023255814,0.08873169252665164,0.9616671571795964,0.046511627906976744
17,"(1, 9)",1.0,0.9675091094140879,0.9656990671750469,0.9693259496409102,0.9534461141488989,0.973835644911413,0.9338928787747685
18,"(1, 10)",100.0,0.769923429960268,0.9688937110083989,0.6387507229612492,0.9602794610424135,0.9658217033465295,0.9548004626951996
19,"(2, 3)",0.1,0.06106472811473733,0.9635343672628353,0.03153153153153153,0.3540908692673257,0.9772614287557627,0.21621621621621623
20,"(2, 4)",0.1,0.9398951670339711,0.9383539636672005,0.9414414414414414,0.8424679207896638,0.9722679176160136,0.7432432432432432
21,"(2, 5)",0.1,0.73210415449464,0.9827372238208228,0.5833333333333333,0.668455596852549,0.9881049477713199,0.5050675675675675
22,"(2, 6)",100.0,0.5594513009164751,0.9685480867647713,0.3933201494177104,0.8860849642273969,0.9792650501583496,0.8090969017798286
23,"(2, 7)",100.0,0.4474328436416756,0.9668000280477624,0.29106959308301594,0.9430817423664951,0.9826764521022427,0.9065542052119233
24,"(2, 8)",100.0,0.8733625926623951,0.9590049412458264,0.8017625183322857,0.8363827252151572,0.9816792248860844,0.7285512256442489
25,"(2, 9)",10.0,0.4224309966917389,0.9607969467231331,0.2707313612825424,0.8488532054191431,0.9853906209400731,0.7455486983046038
26,"(2, 10)",100.0,0.9218645828219123,0.9658945628082627,0.8816737790422,0.8855115207581081,0.9792787763753711,0.8081318160265529
27,"(3, 4)",100.0,0.6574268890510875,0.9595424568350447,0.5,0.6520256271765583,0.9368874234703901,0.5
28,"(3, 5)",0.1,0.8233553418570876,0.982974720738081,0.7083333333333334,0.8610121588510048,0.9750862806705971,0.7708333333333333
29,"(3, 6)",100.0,0.001624649095813929,0.9661259267830058,0.0008130081300813008,0.0,0.9643268356675418,0.0
30,"(3, 7)",100.0,0.4198136306080242,0.9624465561411513,0.2684563758389262,0.30015822035472833,0.9610662428237347,0.17785234899328858
31,"(3, 8)",0.1,0.6726475633809883,0.9509883762029214,0.5203488372093024,0.38214720418428866,0.9629612606147231,0.23837209302325582
32,"(3, 9)",0.1,0.2878471472652377,0.9604714677006866,0.16929133858267717,0.40429234895839816,0.9622574013782822,0.2559055118110236
33,"(3, 10)",0.01,0.4106163396885264,0.9686703560108373,0.26052631578947366,0.608163375583608,0.9377627621615672,0.45
34,"(4, 5)",0.1,0.4487105612923307,0.972152866310035,0.2916666666666667,0.8596012446588095,0.9714746875853199,0.7708333333333333
35,"(4, 6)",100.0,0.7552793240029689,0.9537006017330373,0.6252032520325204,0.9293826252610471,0.9626084082846629,0.8983739837398375
36,"(4, 7)",1.0,0.8997950736487508,0.9486758064363734,0.8557046979865772,0.6536453087720068,0.9436068361807392,0.5
37,"(4, 8)",1.0,0.8729773308616372,0.9279826490888302,0.8241279069767442,0.9100956937057635,0.9621657681311689,0.8633720930232558
38,"(4, 9)",0.01,0.35038587297198953,0.9476136389789532,0.21492849108147197,0.9570754544425594,0.9695878459267718,0.9448818897637795
39,"(4, 10)",0.1,0.9338731765426168,0.9526854484259728,0.9157894736842105,0.959598859295504,0.9639740974800883,0.9552631578947368
40,"(5, 6)",100.0,0.6184389677997386,0.9869415812162017,0.4503048780487805,0.7873277614580347,0.9796414107709306,0.6581300813008131
41,"(5, 7)",0.01,0.7030987946493913,0.9680539220380153,0.552013422818792,0.8845558182907401,0.9754686191671911,0.8091442953020134
42,"(5, 8)",100.0,0.5005414637198172,0.9913774174647695,0.33478682170542634,0.8733757019697679,0.9768414602922222,0.7897286821705426
43,"(5, 9)",100.0,0.7227302499659101,0.9827321923175923,0.5715223097112861,0.9371487351633868,0.9816712894886207,0.896489501312336
