,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",0.1,0.7257348682344934,0.9619545170607204,0.5826564739608218,0.9797152979217185,0.9602371729440571,1.0
1,"(0, 2)",100.0,0.5276286679181817,0.971768280176501,0.3621229925577752,0.9418352965883375,0.9709515795783114,0.9144144144144144
2,"(0, 3)",0.01,0.9357353330725825,0.9595838551183058,0.9130434782608696,0.9773344369524585,0.9556735576780387,1.0
3,"(0, 4)",0.01,0.6364664387214884,0.9510762422714983,0.4782608695652174,0.9785741523673323,0.9580471794749938,1.0
4,"(0, 5)",100.0,0.9274762229418412,0.9764844766700901,0.8831521739130435,0.9792411757840715,0.9593266818303063,1.0
5,"(0, 6)",0.1,0.5394758807011012,0.958465153498813,0.3753799929303641,0.4538752498971625,0.9646604859181357,0.2967479674796748
6,"(0, 7)",0.1,0.6957811864427844,0.9504987372932475,0.5487306682229355,0.9792692738522678,0.9593806170095996,1.0
7,"(0, 8)",0.1,0.1819074087666894,0.976953734924374,0.1002906976744186,0.5694098258771725,0.9721440471878569,0.40261627906976744
8,"(0, 9)",1.0,0.8102428997790818,0.9701968059953688,0.6955665867853476,0.9717431019288004,0.9633198482250476,0.9803149606299213
9,"(0, 10)",10.0,0.7935829293781748,0.957521705292593,0.6775743707093821,0.9738757363795791,0.9637557338065592,0.9842105263157894
10,"(1, 2)",10.0,0.681844269270967,0.9735276104242033,0.5246510246510246,0.9437684449408065,0.9750695948362955,0.9144144144144144
11,"(1, 3)",0.1,0.6348594342175071,0.9683761258504516,0.4722222222222222,0.7085227157552665,0.9629634812148916,0.5604395604395604
12,"(1, 4)",1.0,0.5810560844786095,0.9674071336023897,0.4152276295133438,0.978813739640501,0.9636094760469329,0.9945054945054945
13,"(1, 5)",100.0,0.825500399595428,0.983804089264802,0.711080586080586,0.981407336663093,0.9634934277339138,1.0
14,"(1, 6)",0.01,0.4558294099944891,0.9769274167897177,0.2972661484856607,0.9386476608839808,0.9694344587153643,0.9097560975609755
15,"(1, 7)",0.1,0.734613379655231,0.9691123161636992,0.5914890478648868,0.9781681691750612,0.9623589342533736,0.9945054945054945
16,"(1, 8)",0.01,0.49803493122438813,0.9686935688699343,0.3351808075645285,0.9557043714058757,0.9746297277223179,0.9375
17,"(1, 9)",10.0,0.6724734369296284,0.9773094319820732,0.5125897724322921,0.9743295669911268,0.9684168184382967,0.9803149606299213
18,"(1, 10)",100.0,0.8003623447929756,0.9706936109063591,0.6808849045691151,0.9758146037554,0.9675607143557257,0.9842105263157894
19,"(2, 3)",0.1,0.7736935335536742,0.966778975768592,0.6448948948948949,0.9442312782263447,0.9709776367067102,0.9189189189189189
20,"(2, 4)",0.01,0.6647965930855996,0.9669213047112611,0.5065269350983637,0.9421028917842834,0.9715205432924822,0.9144144144144144
21,"(2, 5)",100.0,0.5138413969071417,0.9863805338475351,0.3474099099099099,0.33273090411114037,0.9783785059218572,0.20045045045045046
22,"(2, 6)",100.0,0.48135268242343004,0.9832975363030345,0.318677213799165,0.8939763218649119,0.9801488653496188,0.821731487585146
23,"(2, 7)",1.0,0.6075828567599199,0.9804965007524457,0.44017171533950056,0.9423499559063435,0.9720461585990853,0.9144144144144144
24,"(2, 8)",100.0,0.3678955328458014,0.9745928967764264,0.22674418604651161,0.9154708872250308,0.9857668490956599,0.8545333123821497
25,"(2, 9)",100.0,0.20646827366219148,0.9858920943225348,0.11530822160743422,0.007842485681363986,0.9792534917536996,0.003937007874015748
26,"(2, 10)",10.0,0.6282741212809044,0.9804747251097401,0.46223328591749646,0.9381223469170316,0.9781327920473107,0.9012565196775724
27,"(3, 4)",0.1,0.6646329440041012,0.96625712082447,0.5065192743764172,0.9789130714596378,0.958697094339449,1.0
28,"(3, 5)",0.1,0.7838132752000182,0.9806678646574808,0.6527777777777778,0.9804615191380992,0.9616719109113306,1.0
29,"(3, 6)",0.01,0.6953591742125476,0.9741012174212906,0.540650406504065,0.9344991843929952,0.9652001716431098,0.9056910569105692
30,"(3, 7)",0.01,0.7363051043920956,0.9683828109507435,0.5939597315436241,0.9792658398797937,0.9593740252255992,1.0
31,"(3, 8)",100.0,0.8198799705591159,0.9713024845223281,0.7093023255813954,0.953916629446246,0.9724823458728573,0.936046511627907
32,"(3, 9)",10.0,0.8639145226112134,0.9701445916470982,0.7786526684164479,0.9719257297866025,0.9636788654766703,0.9803149606299213
33,"(3, 10)",100.0,0.7791088220121203,0.9696149386280271,0.6511695906432748,0.9733991737296945,0.9628227613940992,0.9842105263157894
34,"(4, 5)",10.0,0.6525748242476974,0.98081019360015,0.4889455782312925,0.9803571354748061,0.9614710891262092,1.0
35,"(4, 6)",1.0,0.509462428254729,0.9759682134743333,0.3446988551518168,0.9376365341520121,0.96544845763634,0.9113821138211382
36,"(4, 7)",0.01,0.9466445416965169,0.9680398836128613,0.9261744966442953,0.9791549863973235,0.9591612569490598,1.0
37,"(4, 8)",0.01,0.3503536091599989,0.9713024845223281,0.21372211675367822,0.8668413691844913,0.9723683937536669,0.7819767441860466
