,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.6629459502453275,0.9834416033984135,0.5,0.9929421025868561,0.9900676116213555,0.9958333333333333
1,"(0, 2)",0.1,0.6637417033641312,0.9869521585111861,0.5,0.9952694861309739,0.990583517065069,1.0
2,"(0, 3)",0.1,0.6732417123275211,0.9919804009395031,0.5095238095238095,0.13325408501678424,0.9911581381680895,0.07142857142857142
3,"(0, 4)",10.0,0.6132392832401812,0.9900394395086691,0.4441860465116279,0.5107362741253426,0.9895993955042687,0.34418604651162793
4,"(0, 5)",0.1,0.7143420927408174,0.9921899771430778,0.5580645161290323,0.3623408657694091,0.9949245363132805,0.221505376344086
5,"(0, 6)",1.0,0.6590349634029486,0.9854737650578058,0.49504950495049505,0.991325461936801,0.9915619277196319,0.9910891089108911
6,"(0, 7)",10.0,0.6632303424315055,0.9846943267099603,0.5,0.9933932328163549,0.9868731914009877,1.0
7,"(0, 8)",0.01,0.0,0.9941497406804947,0.0,0.0,0.994704389793818,0.0
8,"(0, 9)",0.01,0.7953997188486519,0.985747060518626,0.6666666666666666,0.9895059886683584,0.9792299385964446,1.0
9,"(0, 10)",100.0,0.660463606071526,0.972596189807355,0.5,0.0,0.9554591144022471,0.0
10,"(1, 2)",0.1,0.9275681187792963,0.986856325082176,0.875,0.9940750740876141,0.9923230127200608,0.9958333333333333
11,"(1, 3)",10.0,0.1311642956378344,0.9893507657432193,0.07023809523809524,0.008298488133786884,0.9923040860962158,0.004166666666666667
12,"(1, 4)",10.0,0.9713393677798207,0.989245686825368,0.9540697674418605,0.991673660735465,0.9898463287997488,0.9935077519379845
13,"(1, 5)",0.1,0.11001780380058299,0.965233506986258,0.058333333333333334,0.3508208945539353,0.9960704842414067,0.2129032258064516
14,"(1, 6)",10.0,0.3286192266899727,0.9842498931283511,0.19723597359735975,0.01571655412019829,0.9956611960007545,0.007920792079207921
15,"(1, 7)",0.01,0.20195386340235888,0.9858402746380865,0.1125,0.0,0.9888327090581797,0.0
16,"(1, 8)",100.0,0.47999257307805426,0.9912409974252169,0.31666666666666665,0.0,0.9954102937175437,0.0
17,"(1, 9)",100.0,0.6631237195394131,0.9842244141273042,0.5,0.9883455017642079,0.9809694342514363,0.9958333333333333
18,"(1, 10)",100.0,0.6592886724164917,0.9675179822938232,0.5,0.6538119976356971,0.9595302710803055,0.49583333333333335
19,"(2, 3)",100.0,0.6654364469941937,0.994484367791618,0.5,0.996022280144186,0.9920760794245808,1.0
20,"(2, 4)",0.01,0.4929132471564871,0.991780350927,0.327952576379389,0.13842287673690495,0.9891404248760232,0.07441860465116279
