,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",1.0,0.6427106922783055,0.9757396966852213,0.4791666666666667,0.6602746963958208,0.971777329199358,0.5
1,"(0, 2)",0.01,0.25596050069684284,0.9864796949276609,0.14705882352941177,0.4529612941349992,0.9848449077930334,0.29411764705882354
2,"(0, 3)",100.0,0.1079796629817397,0.9784675320053959,0.05714285714285714,0.5828328030091382,0.9825858818542961,0.4142857142857143
3,"(0, 4)",10.0,0.5567586919906218,0.9829263490544172,0.3883720930232558,0.6475927078247271,0.969984193006813,0.48604651162790696
4,"(0, 5)",0.1,0.457548309090984,0.9748494727656597,0.2989247311827957,0.6553952757245989,0.9751818509647199,0.4935483870967742
5,"(0, 6)",10.0,0.042624213666855204,0.9875608783148169,0.02178217821782178,0.6546627145418187,0.9738086286065193,0.49306930693069306
6,"(0, 7)",0.1,0.16640447624930968,0.9814434038222696,0.09090909090909091,0.6207512280938022,0.9785668353305057,0.45454545454545453
7,"(0, 8)",100.0,0.0,0.981828876543211,0.0,0.0,0.9813509792911204,0.0
8,"(0, 9)",1.0,0.6606260411905654,0.973301020956532,0.5,0.6603350482643846,0.9720388354615535,0.5
9,"(0, 10)",10.0,0.5391113462023952,0.9750406715554563,0.37254901960784315,0.6592301898869594,0.9672661285168991,0.5
10,"(1, 2)",0.1,0.8426326235197235,0.9840309676664805,0.7367647058823529,0.9925626497904448,0.9852351112294812,1.0
11,"(1, 3)",10.0,0.6749606034202577,0.9838275082675002,0.5136904761904761,0.94034446611206,0.9844757418977707,0.9
12,"(1, 4)",100.0,0.8281973052962478,0.9921318724444959,0.7107558139534884,0.9889995776689195,0.9827308076429762,0.9953488372093023
13,"(1, 5)",100.0,0.679319498932884,0.9792926136467468,0.5200268817204301,0.9860695146594832,0.976624572756279,0.9956989247311828
14,"(1, 6)",10.0,0.6534472205524057,0.9755291976376659,0.49125412541254126,0.984682063179806,0.9764353065178272,0.9930693069306931
15,"(1, 7)",100.0,0.6963391114267348,0.9897201080090863,0.5371212121212121,0.967667142771238,0.9811546146282714,0.9545454545454546
16,"(1, 8)",0.1,0.6188014208606608,0.9839505909652159,0.4513157894736842,0.9806904962850077,0.9703746118968155,0.9912280701754386
17,"(1, 9)",100.0,0.6466468261612283,0.9766455901118279,0.48333333333333334,0.9837570076327474,0.9719700682697554,0.9958333333333333
18,"(1, 10)",1.0,0.669049404082795,0.9774685602736675,0.508578431372549,0.6575414715881753,0.9757749025358007,0.49583333333333335
19,"(2, 3)",0.01,0.501601227488057,0.995247759959792,0.33529411764705885,0.9556087115605502,0.9842677072158329,0.9285714285714286
