,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",1.0,0.008292630422062967,0.8488981667449291,0.004166666666666667,0.6104513665649134,0.8408252637991418,0.4791666666666667
1,"(0, 2)",0.1,0.6207568377707897,0.8461142479081598,0.49019607843137253,0.6214032098283268,0.8485203210262308,0.49019607843137253
2,"(0, 3)",100.0,0.4770827724745823,0.8388243711448177,0.3333333333333333,0.47834177184318943,0.8466605407135257,0.3333333333333333
3,"(0, 4)",0.1,0.588161156433947,0.8446418742329356,0.4511627906976744,0.55732101000109,0.8526124950598383,0.413953488372093
4,"(0, 5)",1.0,0.3907649826578901,0.8492656197192838,0.2537634408602151,0.6169449791816688,0.8411843604655389,0.4870967741935484
5,"(0, 6)",1.0,0.5019303123686726,0.8481322991756522,0.3564356435643564,0.6210116147307733,0.8414968892789005,0.49207920792079207
6,"(0, 7)",10.0,0.5546392458617171,0.8609533985707399,0.4090909090909091,0.6349664222494779,0.869737006335672,0.5
7,"(0, 8)",0.1,0.0,0.8575712057148629,0.0,0.6232232233431078,0.8522179533027869,0.49122807017543857
8,"(0, 9)",0.1,0.0,0.958199263508111,0.0,0.0,0.9525974453426256,0.0
9,"(0, 10)",0.1,0.6289494410490402,0.84752525751102,0.5,0.6265655706861989,0.8389231435322329,0.5
10,"(1, 2)",0.01,0.13067995200853533,0.842517248207024,0.07083333333333333,0.283983768071318,0.8410446578372093,0.17083333333333334
11,"(1, 3)",0.1,0.6043276123382259,0.8571873813364458,0.4666666666666667,0.8799171764507528,0.8500976467629352,0.9119047619047619
12,"(1, 4)",0.01,0.5351186725318223,0.8421395508742354,0.39215116279069767,0.2790966057365683,0.8376926240369111,0.16744186046511628
13,"(1, 5)",0.01,0.6863119617282336,0.8381529800018254,0.5810483870967742,0.3924227118509342,0.841055661542278,0.25591397849462366
14,"(1, 6)",10.0,0.5712101225143008,0.839470556795244,0.43287953795379536,0.4644295133644832,0.8367666644478882,0.3214108910891089
15,"(1, 7)",100.0,0.8873423528314988,0.8562020318669165,0.9208333333333334,0.008292710582126028,0.8505815025311405,0.004166666666666667
16,"(1, 8)",1.0,0.6570146804211445,0.846505728741576,0.5368421052631579,0.9026940170151472,0.8376220132346701,0.9787280701754386
17,"(1, 9)",100.0,0.9610902961591192,0.9436692426777041,0.9791666666666667,0.00829748167266621,0.9643302335079701,0.004166666666666667
